,Word,Count
729,Após,263
1084,brasileiros,260
2099,último,260
352,crime,260
2443,programa,258
176,antes,256
1253,coisa,256
29,segundo,252
670,fim,252
2030,havia,251
2984,declarou,249
214,estado,248
2908,nuclear,248
2883,segurança,247
128,site,247
1388,dar,244
2725,ataque,242
1127,feito,241
2373,Sul,240
220,João,239
1179,Supremo,238
5127,deve,236
928,meses,235
1297,matéria,235
703,recebeu,234
1964,Ela,234
1182,advogado,231
1921,deu,230
1324,irá,229
1175,pediu,229
285,Veja,228
21,PMDB,226
538,projeto,225
974,podem,225
2294,chegou,224
1971,cidade,223
65,algo,223
1713,além,223
2814,Mendes,223
833,Congresso,222
3170,propina,222
2435,estar,222
476,cerca,221
553,poderia,221
78,partido,221
1067,Público,220
373,sabe,220
3131,cada,218
1332,forma,218
1048,pessoa,217
2150,Luiz,217
1357,sempre,216
931,Curitiba,215
59,Eles,215
2869,Senado,215
2768,lei,215
3409,trabalho,215
1126,depoimento,212
3067,Para,212
1212,investigações,211
1259,Com,210
383,mostra,209
24,ação,209
1755,mulher,207
242,Quem,207
2654,relação,207
1323,nunca,207
946,líder,206
1340,meio,206
1507,toda,205
754,nota,204
2089,primeiro,203
998,três,203
3514,Marcelo,202
2095,2016,202
1546,militar,202
2830,Gilmar,202
761,eleições,200
1512,aconteceu,200
1824,publicou,200
3305,duas,200
633,lado,200
1301,têm,198
66,tão,197
6448,China,197
2884,senado,197
175,vezes,197
865,direito,196
2160,história,196
1158,Deus,195
1456,quase,195
3287,ninguém,195
1061,bilhões,194
462,feita,194
3841,Nacional,193
2733,Será,193
2471,apoio,193
1756,primeira,192
148,ver,192
6028,Casa,190
183,tipo,190
2025,Durante,190
1354,população,189
2224,imprensa,189
2855,Planalto,188
1908,todas,188
2476,esposa,188
1438,cara,188
3090,morte,187
2221,2014,187
1552,militares,187
1180,Tribunal,186
2151,Inácio,186
2798,crimes,185
466,oficial,185
1414,polícia,185
330,Janot,184
7106,Fernando,184
662,brasileira,184
265,Neves,184
816,próprio,183
2401,reais,183
1748,então,183
2756,horas,183
2015,deputados,182
1379,outra,182
2367,Segundo,182
5413,possível,182
4742,Instituto,181
997,outras,181
2427,questão,181
329,Rodrigo,180
6909,Delcídio,180
167,falar,178
1219,premiada,178
658,partir,178
313,revista,177
3717,PSDB,177
743,manhã,176
1620,empresário,176
1004,Folha,175
276,ficou,175
3593,desse,174
194,Isso,174
5868,Mas,174
829,próximo,174
3943,cidadão,173
717,Carlos,173
689,apresentador,173
1939,mês,172
3177,denúncia,172
273,operação,172
2429,exministro,172
2441,públicos,172
2289,época,172
2131,cadeia,171
3483,Presidente,171
3108,estaria,171
3503,esquema,170
5071,Diário,170
906,decidiu,170
1201,mandato,169
3301,equipe,168
7011,mísseis,168
2702,nova,167
267,conversa,167
1873,imagem,167
1030,final,166
1162,internet,165
389,países,165
1111,Você,165
138,discurso,164
2324,vários,164
1929,pai,164
76,valor,163
2635,afirma,162
1752,Estados,162
2916,nucleares,162
660,crise,162
2170,mídia,162
1479,Quando,161
2062,2015,161
2636,Joesley,160
1163,passou,160
2915,armas,160
5408,Rússia,160
2799,enquanto,159
1190,PGR,159
1311,noite,159
1296,tal,158
792,senadores,157
171,petistas,157
403,conseguiu,157
1671,sim,157
2630,risco,156
871,tentou,156
1741,sob,156
922,Foi,156
2929,Jongun,155
1957,mãe,155
4362,foro,155
3615,Calheiros,154
3153,pública,154
1124,favor,153
3325,câncer,153
3248,votos,153
4981,ator,153
1234,justiça,153
1345,lugar,153
27,atual,152
3525,ameaça,152
1664,algumas,151
1245,sistema,151
6508,Teori,151
1260,condenado,151
641,fala,151
131,Jair,149
2763,tentar,149
1780,deste,149
6029,Civil,148
653,saúde,148
763,2018,148
1753,Unidos,148
2029,parlamentar,147
2212,apartamento,147
3157,verdade,147
542,número,147
1947,golpe,147
704,quatro,147
1585,quanto,146
2158,presidência,146
1951,início,146
342,Como,146
465,texto,145
2042,acabou,145
2358,capital,145
271,Sergio,145
9354,rede,145
744,dessa,144
5164,avião,144
1597,Esse,143
377,amigo,143
4092,tarde,143
2159,melhor,143
1346,recursos,143
2967,confirmou,143
2017,objetivo,143
3190,advogados,143
224,fazendo,143
407,empresas,142
86,somente,142
647,sítio,142
4364,Vamos,141
6071,via,141
1174,pede,141
1132,MPF,141
2234,responsável,140
2729,dizendo,140
1398,acima,140
1313,pedir,140
3283,total,140
3186,Mais,140
2437,casos,139
2523,100,138
2016,parlamentares,138
3101,começou,138
1176,nesta,138
1976,deixou,138
219,Além,138
920,defender,137
4712,Exército,137
4099,ministros,137
2698,cantor,137
5181,Marisa,136
129,vem,135
4080,neste,135
532,nenhum,135
3870,algum,135
1320,alguém,134
1669,grandes,134
2854,Palácio,134
3388,filhos,134
819,dono,133
1658,palavras,132
3211,senhor,132
3275,frente,132
170,tanto,132
913,pena,131
2167,vítima,131
3794,investigação,131
2182,seguinte,131
3168,lavagem,131
303,assunto,131
748,hora,131
67,bom,131
1652,vamos,130
2231,milhão,130
1306,social,130
1083,claro,130
4071,imagens,130
4535,vivo,130
1140,chefe,129
356,fonte,129
4457,médico,129
1099,carro,128
901,provas,128
4748,problema,128
3004,Governo,128
7828,presos,128
2998,ato,127
502,mesma,127
6622,Facebook,127
34,vou,127
312,reportagem,127
609,Por,127
359,escreveu,127
4130,precisa,127
2917,ações,127
3052,nacional,126
3171,OAS,126
96,ficar,126
1575,Lei,125
1085,vão,125
5140,coisas,125
3618,Jucá,124
3213,reunião,124
714,Rede,124
1288,receber,124
878,confira,124
3098,posse,124
2364,alerta,123
4058,uso,123
3628,Presidência,123
3856,contas,123
2919,Donald,123
3622,Machado,123
3782,propinas,123
3731,notícia,122
3058,resposta,122
3669,ocorreu,122
1468,passa,122
2002,volta,121
1728,muita,121
2078,Maria,121
2431,Palocci,121
2019,acusado,121
458,desses,121
663,esquerda,120
16,senadora,120
80,deveria,120
629,amigos,120
1866,chegar,119
2489,fica,119
2334,Ricardo,119
4046,ordem,119
2809,alvo,119
8529,Gleisi,119
1203,base,118
1831,últimos,118
205,evitar,118
965,chamado,118
1614,Batista,118
1070,tirar,118
4714,fogo,118
8710,Cerveró,118
796,Roberto,117
11264,marido,117
598,valores,117
6646,deixar,117
3540,policiais,117
1120,problemas,117
817,candidato,116
1073,mensagem,116
4702,exército,116
447,respeito,116
4134,pagar,116
1837,chamou,116
1543,Defesa,116
4370,aparece,116
1603,pessoal,115
1428,medo,115
603,documentos,115
2146,passar,115
73,motivo,114
3178,recebido,114
449,própria,114
1074,publicada,114
445,relatou,113
695,hospital,113
6929,empreiteira,113
1283,lista,113
764,Caso,113
2421,Henrique,113
2301,possui,113
3657,possa,113
5526,Agora,112
1826,atenção,112
2771,general,112
3342,doença,112
1089,devem,111
5211,desta,111
2829,declaração,111
2644,usar,111
109,Que,111
994,dados,110
1950,Deputados,110
2326,revelou,110
4718,jovem,110
1110,disso,110
2456,Janeiro,110
581,falta,109
2425,bomba,109
3258,incluindo,109
5,colocar,109
1744,maioria,109
2034,conhecido,109
1217,JBS,109
2026,votação,108
1542,Ministro,107
1373,mal,107
935,sociedade,107
2464,ruas,107
4280,podemos,107
2665,prefeito,106
2790,poderão,106
7509,News,106
6509,Zavascki,106
3323,ajuda,106
640,americano,106
341,colunista,106
1689,pois,106
4101,Filho,106
4737,acidente,106
418,documento,106
6764,junto,106
1758,saber,106
795,Dias,105
1863,etc,105
5437,diante,105
4035,organização,105
610,corpo,105
2786,democracia,104
1068,várias,104
5909,TSE,104
5639,contou,104
2930,alegou,104
2038,ataques,104
84,parece,104
3069,maneira,104
1981,cabeça,104
2920,míssil,104
2092,segunda,104
3510,combate,104
2623,divulgou,103
3414,funcionários,103
2955,estatal,103
1818,Francisco,103
825,possibilidade,103
7862,notícias,103
3280,Essa,103
1556,Constituição,103
1520,água,103
5340,relator,103
1986,cinco,102
5048,Cláudio,102
3375,período,102
5379,criminosa,102
2827,delações,102
3774,destacou,102
2983,ditador,102
4469,presidencial,102
1511,casal,102
4605,causa,101
4642,plenário,101
1047,acha,101
953,regime,101
1328,levar,100
3378,maiores,100
2164,mim,100
42,mãos,100
1955,respondeu,100
929,Força,100
8361,ameaças,100
2965,força,100
2530,foto,100
4946,filha,100
5384,Santos,100
674,caiu,100
1855,Terra,100
513,exemplo,100
899,Depois,100
1284,portal,100
984,atrás,100
2783,nação,99
2463,queria,99
2381,Paraná,99
5284,diretor,99
5621,devido,99
753,nenhuma,99
4363,privilegiado,99
778,Ainda,99
1793,busca,99
4449,imediatamente,99
562,proposta,98
5698,sabia,98
337,Minas,97
3917,principais,97
2127,Carvalho,97
147,querem,97
1610,compra,97
1889,atriz,97
2145,tenta,96
4230,Até,96
1714,passado,96
2662,recado,96
4344,Antagonista,96
1933,2010,96
2776,Militar,95
5026,plano,95
278,intenção,95
836,principal,95
12509,Bumlai,95
1059,corruptos,95
652,crianças,95
3635,logo,95
579,controle,95
3083,disseram,94
2711,novamente,94
1731,muitos,94
948,País,94
2617,autoridades,94
2462,Pois,94
708,usado,94
2736,Atibaia,94
1928,liberdade,93
8026,caixa,93
880,chama,93
11317,ONU,93
7861,agência,93
2619,comunista,93
3536,acabar,93
1292,postagem,93
3703,Tem,93
883,Partido,92
3405,salário,92
770,acontecer,92
9593,presidenta,92
875,Dirceu,92
3384,série,92
1930,Alexandre,92
2199,julgamento,92
427,contratos,92
9349,vírus,92
2943,Japão,92
5142,entrou,92
4590,pagamento,92
4047,manter,92
781,futuro,91
4806,assessoria,91
3034,voto,91
12028,região,91
6369,medidas,91
1387,trabalhar,91
473,área,91
498,obras,91
1851,continua,91
2338,citado,90
2363,próxima,90
3020,cargos,90
8341,sessão,90
1360,mulheres,90
679,ajudar,90
4136,real,90
3294,encontro,90
2013,Costa,90
1411,espécie,89
690,Jornal,89
9068,Tiririca,89
291,alto,89
7100,seis,89
530,serviços,89
6910,Amaral,89
3672,criança,88
6076,repórter,88
340,divulgada,88
3299,mão,88
1369,fazem,88
750,próximos,88
1874,alguma,88
2805,novas,88
4813,acesso,88
1210,tentativa,87
8245,direitos,87
800,Ciro,87
682,nesse,87
4616,carta,87
2850,luta,87
720,comando,86
783,novos,86
4419,perdeu,86
5727,reforma,86
6045,Santana,86
3852,Mundial,86
2372,América,86
1922,opinião,85
3327,pesquisa,85
1474,existe,85
6489,bandidos,85
4893,levou,85
5681,Sem,85
2021,eleitoral,85
2604,Todos,85
2588,canal,84
4397,Fachin,84
614,capacidade,84
3102,entrar,84
5441,pior,84
2616,atacar,84
3307,feitas,83
6916,Léo,83
9224,usando,83
8820,forças,83
3097,tomar,83
5299,quis,83
2661,manda,83
4906,grave,83
1279,usou,82
2657,minutos,82
2398,União,82
5659,envolvendo,82
3954,500,82
613,alta,82
5977,explicou,82
306,acusações,82
6335,movimento,82
3105,sair,82
516,processos,82
3651,emissora,82
4557,dólares,82
5123,atitude,82
2310,pastor,82
1429,violência,81
5609,2012,81
4327,Geddel,81
2660,Dória,81
2171,destruir,81
667,sei,81
4038,único,81
155,dizem,81
2787,Forças,81
519,diversos,81
768,instância,81
199,falou,81
784,nomes,81
3595,Porque,80
2525,ponto,80
2322,exdeputado,80
6073,campanhas,80
2856,referindo,80
4334,enfim,80
8339,investigado,80
7856,teste,80
2872,arma,80
1613,comentou,79
6330,MST,79
801,Gomes,79
5400,serviço,79
1153,papel,79
2544,medida,79
2360,madrugada,79
905,sentença,78
2891,mostrou,78
963,Nova,78
992,data,78
1366,homens,78
3738,anunciou,78
2175,mudar,78
4048,mundial,78
2254,imóvel,78
1900,publicação,78
200,suposto,78
370,afastamento,78
2413,2017,78
5905,Pinheiro,77
2587,divulgado,77
2897,Lindbergh,77
2426,domingo,77
1052,perder,77
4319,inclusive,77
3426,troca,77
6472,fotos,77
2566,janeiro,77
2694,internautas,77
635,dessas,76
5182,Letícia,76
1602,publicado,76
3000,agentes,76
382,BNDES,76
1242,Bernardo,76
847,ministra,76
4835,instituições,76
2455,aeroporto,76
877,importante,76
4076,aliados,76
7664,policial,75
1114,sofreu,75
3507,partidos,75
368,inquérito,75
9423,nortecoreano,75
4480,iria,75
3315,ideia,75
4563,Tudo,75
1504,perto,75
3149,tentando,75
6521,Banco,75
523,contrato,75
3311,postou,74
3547,Vai,74
2716,afastada,74
4097,pressão,74
1270,norteamericano,74
230,fase,74
6983,defende,74
1435,cidadãos,74
1647,fizeram,74
3775,sede,74
1252,única,73
884,Trabalhadores,73
1946,Maia,73
2003,Deputado,73
3469,líderes,73
2247,demissão,73
7369,exercício,73
7285,gastos,73
1987,tomou,73
5858,Luís,73
578,órgão,73
7694,Patrícia,73
1077,aumento,73
4679,delator,72
2442,chamada,72
2140,sucesso,72
3360,idade,72
5177,aeronave,72
3532,Hoje,72
452,leis,72
474,internacional,72
3989,Oliveira,72
174,200,72
2888,oposição,72
3466,exterior,72
5846,voo,72
1778,totalmente,72
2592,FHC,72
1869,realmente,72
3887,celular,72
1907,quero,72
3723,especial,71
1,Abreu,71
2780,artigo,71
422,banco,71
626,governos,71
454,operações,71
769,difícil,71
437,Venezuela,71
4024,trata,71
3522,condições,71
2474,preciso,71
2640,gravação,71
1287,twitter,71
4433,parar,71
4807,comunicação,71
5997,2011,71
424,trecho,71
5405,fatos,70
4147,Vara,70
3617,Romero,70
3462,provavelmente,70
843,forte,70
701,sextafeira,70
4305,resolveu,70
3176,Guarujá,70
3649,denúncias,70
4931,nessa,70
4919,frase,70
9484,conflito,70
1455,corrupto,70
1688,certo,70
2465,Enquanto,70
3134,Estamos,70
2201,Santa,70
3253,entender,70
1584,razão,70
2450,hotel,70
1037,The,69
7403,Conselho,69
12604,Síria,69
580,aponta,69
3298,simples,69
1298,voltou,69
4110,Lima,69
7524,Fátima,69
7185,Ana,69
9466,página,69
3986,Estadão,69
3519,Antonio,69
2451,ladrão,69
926,longo,69
4544,prédio,69
6935,deixa,69
3205,continuou,69
431,atos,69
4468,seguidores,69
301,afastado,69
2009,Moura,69
3172,Entre,68
2333,pagamentos,68
798,Marina,68
492,obra,68
756,global,68
1130,Então,68
1691,contrário,68
8588,doações,68
3763,membros,68
851,Serra,68
23,resultado,68
8049,Maranhão,68
3309,economia,68
5773,Universidade,68
4178,vergonha,68
2157,voltar,68
2926,Pyongyang,68
9783,território,68
4396,Edson,68
7384,Lúcia,68
6216,muitas,68
7401,evento,68
1832,Mesmo,67
5484,Nós,67
250,Azevedo,67
894,alega,67
1250,condenação,67
1125,assista,67
4201,dona,67
3974,jornalistas,67
4407,estratégia,67
5967,ambos,67
915,econômica,67
6263,mensagens,67
2573,Porto,66
3100,eleição,66
293,fazia,66
9374,moça,66
6200,explica,66
6294,nível,66
1638,comprar,66
1177,segundafeira,66
501,praticamente,66
2332,detalhes,66
8368,artista,66
2951,Jonun,66
741,fará,66
3604,dez,66
2968,capaz,66
4125,PEC,66
712,considerado,66
1171,minuto,65
9479,Guerra,65
6039,presente,65
3948,confiança,65
1872,conforme,65
9811,jamais,65
7421,Cardoso,65
4279,ocorrido,65
6651,cassação,65
8314,Armadas,65
7025,acho,65
7793,responsabilidade,65
804,governador,65
5535,resolver,65
4197,setembro,65
6336,criminoso,65
3680,encontrar,64
1165,falando,64
10262,Putin,64
4278,show,64
4758,necessário,64
4645,voz,64
1115,Friboi,64
7864,direção,64
607,prazo,64
2219,2013,64
1319,simplesmente,64
3916,presença,64
2156,pretende,64
3620,exdiretor,64
6300,deverá,64
4728,vítimas,64
11031,participação,64
7660,participar,64
7489,ficaram,64
2290,Silvio,64
1022,Cultura,64
4414,Mônica,64
2688,áudio,64
2896,bandido,63
4861,fundo,63
3845,tempos,63
5208,oficiais,63
5615,humanos,63
7557,coletiva,63
483,poucos,63
9129,prender,63
8367,tornar,63
6496,pergunta,63
2069,vive,63
4081,sábado,63
3873,saída,62
1336,cima,62
5341,Pedro,62
5460,interino,62
5068,pedidos,62
7190,movimentos,62
3506,cofres,62
4832,integrantes,62
2803,públicas,62
10451,russo,62
1983,quintafeira,62
1666,principalmente,62
5419,morrer,62
1629,Revista,62
478,300,62
3359,grupos,62
3560,investigados,62
1632,viu,62
3319,chega,62
2094,novembro,62
2668,Aos,62
4105,Secretaria,62
711,quadro,61
1650,internauta,61
6652,chapa,61
4043,autoridade,61
2018,salvar,61
2365,dado,61
3864,sentido,61
4682,órgãos,61
378,tucano,61
4044,planeta,61
10670,nomeação,61
1721,milhares,61
8174,eleito,61
3031,boca,61
14656,Caiado,61
820,Igreja,61
4860,investigar,61
435,Cuba,61
7513,Bonner,60
13809,Collor,60
186,dito,60
5793,paz,60
733,médicos,60
10789,Vou,60
9820,UOL,60
5529,dando,60
7974,realizado,60
3743,mudança,60
535,quais,60
7577,mínimo,60
5486,Estou,60
2759,construção,60
4331,função,60
2356,atingir,60
867,significa,60
810,próximas,60
1839,tais,60
1693,americanos,60
4989,Fábio,60
3661,declarações,60
2873,manifestantes,60
393,relatório,60
3535,inquéritos,60
7521,confirma,60
3016,gestão,60
2434,alertou,60
4703,Assim,60
4224,continuar,60
7778,interesses,59
2942,Aérea,59
1325,desculpas,59
47,boa,59
1286,facebook,59
8999,Corte,59
2832,palavra,59
692,ficará,59
3756,escapar,59
8751,dívida,59
4262,usa,59
2275,luxo,59
5254,quartafeira,59
1232,recebe,59
6731,magistrado,59
472,diversas,59
5421,Ninguém,59
217,impostos,59
4615,suposta,59
4617,cantora,59
3707,apareceu,59
494,realizada,58
2288,escândalo,58
7999,polêmica,58
14820,Jesus,58
2430,Antônio,58
4572,professor,58
4312,bilhão,58
3636,assumir,58
13283,Hoffmann,58
4222,Geral,58
7383,Cármen,58
22874,Cardozo,58
3195,dezembro,58
3858,acredita,58
4416,críticas,58
3902,Santo,58
7698,acontece,58
331,dizia,58
1149,procuradores,58
9527,apresentadora,58
1545,intervenção,58
3611,abertura,58
2606,Jean,58
2248,negou,58
3910,Itália,58
1932,março,58
6245,aviões,57
9315,humano,57
5167,Fazenda,57
1463,possuem,57
6021,Mantega,57
5812,encontrou,57
192,irão,57
430,prática,57
7784,modo,57
6069,2009,57
3973,visto,57
4799,suspeita,57
1802,carne,57
2369,massa,57
2033,diferente,57
727,amanhã,57
489,análise,57
355,sigilo,57
2837,diretamente,57
2459,colocou,57
8019,criar,57
2607,Wyllys,57
4343,cair,57
2777,mandou,57
4339,entregar,57
5292,Temos,57
3023,patrimônio,57
2794,cenário,57
990,depoimentos,57
1451,empresários,57
2997,preventiva,56
5422,acusação,56
94,demais,56
3015,modelo,56
2528,tornou,56
3691,senhora,56
2950,lançamento,56
2383,Grande,56
2384,chances,56
4326,Judiciário,56
338,Gerais,56
1192,apresentar,56
12824,blá,56
4260,igreja,56
4372,vicepresidente,56
4009,interesse,56
7733,famoso,56
2220,maio,56
2065,envolvidos,56
2611,representa,56
3254,tratamento,56
4944,assessor,56
1944,Jornalista,56
2279,Europa,56
2116,passiva,56
4150,paga,56
8097,servidores,56
5158,Brasileira,56
853,Barbosa,56
2708,chamar,56
6696,conteúdo,55
5817,Segurança,55
3334,Reino,55
509,serem,55
4646,colegas,55
2979,propriedade,55
1035,autor,55
4711,soldados,55
5701,comissão,55
13227,pessoais,55
3099,Desde,55
3251,forçatarefa,55
3250,Lewandowski,55
2634,sofrer,55
2497,Alguns,55
6629,Twitter,55
3296,caminho,55
310,diálogo,55
4987,terceiro,55
361,gravações,55
5820,gabinete,55
2328,votar,55
1635,estudo,55
11668,helicóptero,55
2423,prometeu,55
1418,proteger,54
6593,Cruz,54
4109,Vieira,54
2993,TRF4,54
2709,corte,54
1289,comentários,54
1751,Nos,54
17429,artistas,54
6556,Jorge,54
44,veio,54
9589,abrir,54
3832,conseguir,54
10833,filme,54
3834,classe,54
5818,inteligência,54
3502,investigadores,54
2309,Bruno,54
9381,Washington,54
3906,abuso,54
4307,explicar,54
8709,Nestor,54
6930,saiu,54
5049,réu,54
1101,educação,54
7850,ilegal,54
3074,atualmente,54
3221,virou,54
4513,outubro,54
7743,nobre,54
3088,certeza,54
772,apontam,53
1878,responder,53
885,soltou,53
6737,visita,53
4290,acaba,53
3586,alcance,53
815,lançar,53
5113,LULA,53
3189,triplex,53
7212,informa,53
416,deputada,53
947,popular,53
1675,contato,53
9177,Andrade,53
5770,profissionais,53
2377,centro,53
3079,extremamente,53
1608,Eike,53
2149,verdadeiro,53
463,Abaixo,53
6191,matar,53
1679,interior,53
4663,penal,53
6456,queda,53
4394,Rocha,53
1943,morreu,52
10327,profissional,52
3621,Transpetro,52
2766,General,52
9338,suspeito,52
1796,americana,52
5350,Vale,52
5319,turma,52
6024,mercado,52
1151,prova,52
7123,executivos,52
5206,mandado,52
7715,especialistas,52
3770,juízes,52
2535,chegaram,52
3179,aproximadamente,52
3333,Saúde,52
5248,pedindo,52
1662,jogo,51
5143,disputa,51
2957,KCNA,51
5648,despesas,51
2327,federais,51
1742,pais,51
4932,linha,51
2268,Foram,51
5328,audiência,51
1876,citados,51
2162,Somente,51
2499,inteiro,51
1157,amor,51
4520,Cabral,51
1062,procurador,51
4413,coluna,51
1197,Também,51
1042,torno,51
1173,URGENTE,51
3786,evidências,51
10622,John,51
8942,SBT,51
4155,alma,51
6319,apresentou,50
10964,cita,50
2549,Neto,50
7026,posso,50
5217,apreensão,50
8216,recente,50
8441,mostrar,50
1446,produtos,50
198,jeito,50
7055,médica,50
2053,quebra,50
3580,referência,50
2051,ódio,50
3748,políticas,50
3881,existem,50
5212,cumprir,50
6132,geral,50
7110,provável,50
2886,manifestações,50
26,cúpula,50
6407,indícios,50
8643,investiga,50
895,pobre,50
2571,encontrado,50
3341,comum,49
823,Record,49
6589,Comissão,49
2390,menor,49
3537,atuação,49
2008,Wagner,49
10001,península,49
1448,carros,49
5499,presídio,49
4975,possam,49
1241,residência,49
6158,enviou,49
4299,influência,49
9275,Felipe,49
2598,poderoso,49
2726,rádio,49
1513,comigo,49
8001,começar,49
3053,Era,49
2128,oito,49
5781,junho,49
2796,agir,49
7009,pegar,49
2774,Pimentel,49
2534,fome,49
955,Castro,49
2816,moral,48
2874,clima,48
13883,alvos,48
5298,funcionário,48
3820,executivo,48
5373,construir,48
8048,Luis,48
2633,sério,48
1992,trabalha,48
4219,criminosos,48
1655,questões,48
911,bens,48
2572,morto,48
2292,fiscais,48
1466,sofre,48
7078,mortos,48
3437,quiser,48
3549,atividades,48
5891,carreira,48
405,pequeno,48
6554,prevê,48
16137,zika,48
9328,conhecimento,48
2666,defendeu,48
9420,tecnologia,48
5714,Senador,48
1277,terra,48
5735,negócios,48
3555,delegado,48
6749,faça,48
3642,Relações,48
6965,ditadura,48
3735,York,48
2215,Papa,48
2352,locais,48
3185,recurso,48
1670,cidades,48
789,máximo,48
5425,provar,48
4707,veículo,47
3905,combater,47
3650,ressaltar,47
5908,Dia,47
8075,participou,47
7961,bombas,47
11146,comentário,47
8033,arte,47
5455,terçafeira,47
4477,renúncia,47
390,comunistas,47
7661,curso,47
4144,abriu,47
457,derrubar,47
228,candidatura,47
6628,CUT,47
4768,realizar,47
831,bancada,47
6441,descobriu,47
3940,judicial,47
3201,emprego,47
942,vale,47
3577,passando,47
5604,escritório,47
4746,mostram,47
3274,trás,47
654,citou,47
5365,ganhou,47
738,tratar,47
6487,perfil,47
9210,Rodrigues,47
3861,sequer,47
802,exgovernador,47
4696,uns,47
1668,Nas,46
3950,denunciado,46
1979,próprios,46
2011,Rouanet,46
4855,Movimento,46
2707,Assista,46
3268,ocupar,46
2639,dão,46
1592,fiscal,46
440,apontou,46
1596,preocupação,46
5233,Belo,46
6563,custo,46
1561,vista,46
3238,perante,46
582,registro,46
4899,divulgar,46
6670,tomada,46
3952,mala,46
2620,divulgação,46
12134,advogada,46
3245,âmbito,46
5922,energia,46
1386,ganhar,46
1416,ganha,46
1488,consegue,46
1310,música,46
2284,negócio,46
1230,obstrução,46
4699,embora,46
5072,Poder,46
8120,irmão,46
1509,famílias,46
3424,produção,46
10345,exercícios,46
5578,Padilha,46
10949,realidade,46
5007,moradores,46
10816,Comando,46
5396,telefone,45
5222,Alves,45
496,financiamento,45
1268,viver,45
1897,Vila,45
4640,Confira,45
2562,cometeu,45
153,pesquisas,45
2071,cela,45
4082,2005,45
7032,estariam,45
6995,trabalhando,45
6542,errado,45
11749,tiro,45
10534,2006,45
7165,Doria,45
2023,limites,45
861,honesta,45
3300,suficiente,45
4328,impedir,45
1593,estados,45
568,decisões,45
4169,Dona,45
2527,caos,45
3663,aliado,45
3674,começaram,45
5826,sete,45
8200,livre,45
6302,Hospital,45
6838,vontade,45
4905,alegando,45
3055,restaurante,45
2898,Farias,45
6803,Islâmico,45
6690,email,45
2601,caráter,45
746,precisou,45
323,título,45
1937,receberam,45
3249,Toffoli,45
3042,familiares,45
5314,suspensão,45
1842,pagou,45
3920,oficialmente,45
10145,piada,45
6773,especialista,45
13719,Guimarães,45
4398,determinou,45
7946,manifestação,44
8702,vir,44
938,tríplex,44
2223,comunicado,44
3967,porta,44
1092,livrar,44
1322,rua,44
5462,presentes,44
606,autorização,44
8007,transformar,44
3313,sugeriu,44
9432,testes,44
3837,portavoz,44
4845,comprou,44
9735,destino,44
6941,empreiteiras,44
