,Bigram,Count,Veracity
3152,governo Lula,87,True
3189,possa ser,87,True
3232,governo brasileiro,86,True
3225,podem ter,86,True
3206,mesma forma,86,True
3242,últimos meses,86,True
3194,ser feita,86,True
3231,desta quarta,86,True
3239,Zona Oeste,86,True
30239,Instituto Lula,85,Fake
3262,disse nesta,85,True
3279,Primeira Turma,85,True
3265,Questionado sobre,85,True
3282,Por exemplo,85,True
3314,vai acontecer,84,True
3336,três dias,84,True
3300,nova denúncia,84,True
3324,Associação Nacional,84,True
3332,pessoas morreram,84,True
3330,vídeo abaixo,84,True
3286,ministro Marco,84,True
3296,Carlos Marun,84,True
3285,medidas cautelares,84,True
3341,sociedade brasileira,83,True
3361,Fazenda Henrique,83,True
30248,ser preso,83,Fake
3345,desta vez,83,True
3380,deputados federais,83,True
3365,Isso porque,83,True
3364,capital paulista,83,True
3382,poder político,83,True
3347,processo contra,83,True
3399,deputado cassado,82,True
3398,João Pedro,82,True
3415,pode levar,82,True
30250,Rede Globo,82,Fake
30254,rede social,82,Fake
3389,Meio Ambiente,82,True
3400,prestou depoimento,82,True
3469,residência oficial,81,True
30256,povo brasileiro,81,Fake
3463,ser humano,81,True
3447,política externa,81,True
3451,naquele momento,81,True
3467,qualquer ato,81,True
3440,ações penais,81,True
3456,nesse momento,81,True
3453,então ministro,81,True
3508,várias vezes,80,True
30259,Público Federal,80,Fake
3520,Marcelo Bretas,80,True
3504,recursos públicos,80,True
3503,corrupção ativa,80,True
3484,algum tipo,80,True
3510,juiz Sergio,80,True
3516,José Serra,80,True
3540,Força Nacional,79,True
3535,sistema prisional,79,True
3545,Eduardo Alves,79,True
3563,ensino médio,79,True
30272,poderá ser,79,Fake
3586,fala sobre,78,True
3607,violência contra,78,True
3614,Emílio Odebrecht,78,True
3587,têm sido,78,True
3596,Ainda assim,78,True
3567,meio ambiente,78,True
3601,Aloysio Nunes,78,True
3598,nesta segunda,78,True
30275,governo federal,78,Fake
3667,divulgou nota,77,True
3633,atual presidente,77,True
30286,Operação LavaJato,77,Fake
3653,Justiça CCJ,77,True
30283,Sérgio Machado,77,Fake
3640,muita coisa,77,True
3677,Paulo Bernardo,77,True
3656,primeiro dia,77,True
3648,New York,77,True
3679,campanha presidencial,77,True
3646,Raul Jungmann,77,True
3713,poderiam ser,76,True
3760,anos atrás,76,True
3714,Zona Norte,76,True
3756,exdeputado Eduardo,76,True
3766,fake news,76,True
3704,Desde então,76,True
3733,Henrique Eduardo,76,True
3740,Senado Renan,76,True
3742,movimentos sociais,76,True
30291,ter sido,76,Fake
3802,luta contra,75,True
3770,tornozeleira eletrônica,75,True
30296,Marcelo Odebrecht,75,Fake
3811,americano Donald,75,True
3801,mísseis balísticos,75,True
3821,vida pública,75,True
3781,empreiteira OAS,75,True
3847,primeiro momento,74,True
3857,salário mínimo,74,True
3865,exPresidente Lula,74,True
3833,ano anterior,74,True
3834,vem sendo,74,True
3873,José Roberto,74,True
3871,Código Penal,74,True
3870,mês passado,74,True
3892,ditadura militar,73,True
3942,Medida Provisória,73,True
3914,Moro responsável,73,True
3917,pecuarista José,73,True
3948,Vladimir Putin,73,True
3936,entrevista coletiva,73,True
4000,Força Aérea,72,True
3962,deste domingo,72,True
3982,Getúlio Vargas,72,True
4004,ministro Herman,72,True
3977,Antônio Palocci,72,True
3996,Operação Zelotes,72,True
3986,200 mil,72,True
4002,Vara Criminal,72,True
3975,prestar depoimento,72,True
3985,exministro Antonio,72,True
4020,partidos políticos,71,True
4053,últimas semanas,71,True
4066,Oliveira PMDBCE,71,True
4030,Ciro Gomes,71,True
4051,Pelo menos,71,True
30320,Joesley Batista,71,Fake
4049,políticas públicas,71,True
30334,qualquer momento,70,Fake
4158,Guerra Fria,70,True
30333,deve ser,70,Fake
4115,Operações Estruturadas,70,True
4118,ser questionado,70,True
4091,discussão sobre,70,True
4110,qualquer coisa,70,True
4103,Não existe,70,True
4145,governo estadual,70,True
4113,nove anos,70,True
4207,preso desde,69,True
4177,decisão sobre,69,True
4184,cada dia,69,True
4206,vai ficar,69,True
4225,duas semanas,69,True
4220,Temer afirmou,69,True
30343,juiz Sergio,68,Fake
4303,detalhes sobre,68,True
4281,deste sábado,68,True
4270,dois filhos,68,True
4254,poder público,68,True
4284,Por causa,68,True
4314,dona Marisa,68,True
4255,alguns casos,68,True
4285,outra pessoa,68,True
4290,nortecoreano Kim,68,True
4293,prisão após,68,True
4264,gente vai,68,True
4299,frigorífico JBS,68,True
4282,senadora Gleisi,68,True
4387,daquele ano,67,True
4367,Ricardo Lewandowski,67,True
4388,Jucá PMDBRR,67,True
4331,Fernando Haddad,67,True
4348,nesse sentido,67,True
4352,denúncia apresentada,67,True
4363,mortes violentas,67,True
4366,qualquer outra,67,True
4335,Pedro Gebran,67,True
4372,debate sobre,67,True
4383,março deste,67,True
4381,outras coisas,67,True
4437,próximo ano,66,True
4402,exprimeiradama Marisa,66,True
4423,presidente Donald,66,True
4452,ingressos custam,66,True
4412,perseguição política,66,True
4431,anos após,66,True
4506,equipe econômica,65,True
30371,expresidente Luiz,65,Fake
4463,deputado Jair,65,True
4465,notas fiscais,65,True
4511,pra mim,65,True
4466,vai recorrer,65,True
4477,nova sede,65,True
4471,Mais cedo,65,True
4584,alguma forma,64,True
4585,exgovernador Sérgio,64,True
4567,Até agora,64,True
30382,Forças Armadas,64,Fake
4576,Alckmin PSDB,64,True
4563,deveriam ser,64,True
4575,comissão especial,64,True
4558,Bolsa Família,64,True
4545,Diário Oficial,64,True
4692,senador afastado,63,True
4697,curto prazo,63,True
4643,partir daí,63,True
4676,senador Romero,63,True
4703,península coreana,63,True
4666,Segunda Turma,63,True
4606,segundo dados,63,True
4662,violência doméstica,63,True
4628,desde então,63,True
4633,ser investigado,63,True
4639,local onde,63,True
4681,Cláudio Melo,63,True
30396,João Santana,63,Fake
30385,pode ter,63,Fake
30393,Marisa Letícia,63,Fake
30395,organização criminosa,63,Fake
4789,última vez,62,True
4804,regime nortecoreano,62,True
30404,Romero Jucá,62,Fake
30403,última semana,62,Fake
4707,nesta manhã,62,True
4714,qualquer outro,62,True
4719,Leandro Paulsen,62,True
4722,afirmou ter,62,True
4813,Roberto Jefferson,62,True
4732,desta terça,62,True
4759,algum tempo,62,True
4773,última sextafeira,62,True
4778,anos 1990,62,True
4782,investigações sobre,62,True
4787,Associação Brasileira,62,True
4762,Senado Federal,62,True
4786,nesse caso,62,True
4889,Processo Penal,61,True
4870,nenhum tipo,61,True
4873,dia após,61,True
4881,desta quinta,61,True
4903,trabalho escravo,61,True
4907,anos morreu,61,True
4890,Jogos Olímpicos,61,True
4902,crise financeira,61,True
4846,mesma coisa,61,True
4860,Apesar disso,61,True
4844,última semana,61,True
4834,neste caso,61,True
4837,muitas pessoas,61,True
4936,Marcelo Miller,60,True
30430,fez questão,60,Fake
4930,Para mim,60,True
4929,vai dar,60,True
4926,República Raquel,60,True
4919,Nicolás Maduro,60,True
4961,100 milhões,60,True
4969,qualquer forma,60,True
4971,Câmara Municipal,60,True
30429,podem ser,60,Fake
4988,próxima semana,60,True
4996,Jean Wyllys,60,True
30427,Kim Jonun,60,Fake
4984,ficaram feridas,60,True
4985,novo ministro,60,True
4993,fevereiro deste,60,True
30420,todo mundo,60,Fake
5072,Não podemos,59,True
5084,qualquer momento,59,True
5090,Senado Eunício,59,True
5016,Pode ser,59,True
5023,Santa Bárbara,59,True
5009,receber propina,59,True
5055,Organização Mundial,59,True
5015,Fernando Pezão,59,True
5079,Lindbergh Farias,59,True
5010,Paulo Okamotto,59,True
5024,últimos dois,59,True
5074,Andréia Sadi,59,True
30448,governo Dilma,59,Fake
5180,York Times,58,True
5219,armas químicas,58,True
5215,ministro disse,58,True
5112,primeiro turno,58,True
5133,diz ainda,58,True
5210,Com base,58,True
5111,Jornal Nacional,58,True
5107,sociedade civil,58,True
30455,Patrícia Carvalho,58,Fake
5142,base aérea,58,True
5220,Administração Penitenciária,58,True
30453,Pois bem,58,Fake
5148,Banco Nacional,58,True
30457,Globo News,58,Fake
5312,Henrique Alves,57,True
5301,outras duas,57,True
5262,negou ter,57,True
5265,Antônio Carlos,57,True
5278,Conselho Tutelar,57,True
5292,acusações contra,57,True
5236,terem sido,57,True
5313,senador Renan,57,True
5243,denúncias contra,57,True
5309,Lula afirmou,57,True
5246,tempo todo,57,True
5250,nenhum momento,57,True
5434,maior número,56,True
5403,dinheiro vivo,56,True
5431,ajuste fiscal,56,True
5377,tribunais superiores,56,True
30476,federal Sérgio,56,Fake
5334,último ano,56,True
5366,crimes contra,56,True
30485,Gleisi Hoffmann,56,Fake
5364,poderão ser,56,True
5356,Fernando Bittar,56,True
5343,Nesse caso,56,True
5335,300 mil,56,True
5393,Fernando Segovia,56,True
30480,deste ano,56,Fake
5332,Instituto Brasileiro,56,True
5512,mudanças climáticas,55,True
5541,Delcídio Amaral,55,True
5530,Aviação Civil,55,True
5519,menos três,55,True
5513,incentivos fiscais,55,True
5518,preciso ter,55,True
5522,região metropolitana,55,True
5524,ser considerado,55,True
5487,apartamento vizinho,55,True
5525,policial militar,55,True
5509,Paulo Geraldo,55,True
5488,exPresidente Luiz,55,True
5456,Todo mundo,55,True
30499,cada vez,55,Fake
30487,Minas Gerais,55,Fake
5477,nesse processo,55,True
5474,ordem pública,55,True
5473,madrugada desta,55,True
5464,única coisa,55,True
5459,casa onde,55,True
5457,dez dias,55,True
5484,contratos firmados,55,True
5447,expresidente Fernando,55,True
30491,presidente afastada,55,Fake
5562,Poder Executivo,54,True
5679,São José,54,True
30506,pode estar,54,Fake
5565,Bolsonaro PSCRJ,54,True
30515,José Carlos,54,Fake
30518,faz parte,54,Fake
5671,Ouro Verde,54,True
5637,Mauro Marcondes,54,True
5653,duas pessoas,54,True
5606,ser usado,54,True
5615,apartamento triplex,54,True
5659,interesse público,54,True
5576,algum momento,54,True
5670,Fernando Pimentel,54,True
5625,segurança nacional,54,True
5638,Trump disse,54,True
5566,abrir mão,54,True
30524,armas nucleares,53,Fake
5776,JBS Joesley,53,True
5708,Temer PMDB,53,True
5764,Defensoria Pública,53,True
5767,exministro Geddel,53,True
5786,Operação Carne,53,True
5715,política brasileira,53,True
5758,Ele afirma,53,True
30534,Nestor Cerveró,53,Fake
5720,poucos dias,53,True
5729,Social BNDES,53,True
30522,corrupção passiva,53,Fake
5748,meses antes,53,True
5744,Lula diz,53,True
5742,eleições diretas,53,True
5750,alguns dias,53,True
5814,janeiro deste,53,True
30525,prisão preventiva,53,Fake
5812,pouco antes,53,True
5795,outros seis,53,True
5787,Monica Moura,53,True
5697,Eduardo Cardozo,53,True
5957,balístico intercontinental,52,True
5945,primeira fase,52,True
5949,Lúcio Vieira,52,True
5955,falsidade ideológica,52,True
5901,governo americano,52,True
5959,Ricardo Leite,52,True
30543,primeira vez,52,Fake
5830,Luciano Huck,52,True
30549,ministro Teori,52,Fake
5877,Ainda conforme,52,True
5900,Temer diz,52,True
5872,mundo inteiro,52,True
5943,deste mês,52,True
5936,dessa forma,52,True
5930,OAS Empreendimentos,52,True
5912,carteira assinada,52,True
5880,ter cometido,52,True
5898,desta sexta,52,True
5905,órgãos públicos,52,True
6033,quatro pessoas,51,True
6101,LEIA MAIS,51,True
30572,vai ser,51,Fake
6013,oito meses,51,True
6026,mercado financeiro,51,True
6075,outras áreas,51,True
6103,grande maioria,51,True
6004,anos 1980,51,True
30568,ano passado,51,Fake
6040,pode haver,51,True
6053,primeiro ano,51,True
6044,Moon Jaein,51,True
6005,Oriente Médio,51,True
6065,três pessoas,51,True
6083,vai continuar,51,True
6067,transporte público,51,True
30556,Ciro Gomes,51,Fake
6077,Por volta,51,True
5964,Andrea Neves,51,True
30567,cofres públicos,51,Fake
30575,Cármen Lúcia,51,Fake
6058,pode estar,51,True
6056,acabou sendo,51,True
5996,próximo dia,51,True
6141,Neste ano,50,True
6111,crimes cometidos,50,True
6112,regime militar,50,True
30590,Força Aérea,50,Fake
6134,decisão liminar,50,True
6116,zona rural,50,True
6146,Secretaria Municipal,50,True
6142,policiais federais,50,True
6239,ataque químico,50,True
6156,pode ficar,50,True
6165,governo Michel,50,True
6230,valor total,50,True
6241,recuperação judicial,50,True
6226,Odebrecht pagou,50,True
6220,zona sul,50,True
6217,classe política,50,True
6209,idade mínima,50,True
6204,Aldemir Bendine,50,True
6174,ser julgado,50,True
6202,havia dito,50,True
6164,República Michel,50,True
6157,800 mil,50,True
30588,Edson Fachin,50,Fake
6163,Mais tarde,50,True
6373,governador Geraldo,49,True
6256,Marina Silva,49,True
6404,Jorge Picciani,49,True
6261,eleições presidenciais,49,True
6368,Estado Democrático,49,True
6400,metros quadrados,49,True
6265,parece ter,49,True
6268,advogado Cristiano,49,True
6399,governo sírio,49,True
6353,início deste,49,True
6396,São João,49,True
6374,segunda vez,49,True
6339,estado grave,49,True
6274,alguns anos,49,True
6280,assédio sexual,49,True
6395,lesão corporal,49,True
6299,irmãos Batista,49,True
6363,Fórum Mundial,49,True
6306,região central,49,True
6315,Federal Criminal,49,True
6394,guerra nuclear,49,True
6392,STF Cármen,49,True
6388,esquema criminoso,49,True
6329,possível ver,49,True
6377,ano seguinte,49,True
6352,Logo após,49,True
30619,Fernando Henrique,48,Fake
6429,Segunda Guerra,48,True
6530,desde 2015,48,True
6458,atual governo,48,True
6534,testes nucleares,48,True
6416,anos antes,48,True
6525,Com relação,48,True
6523,entrevista exclusiva,48,True
6519,Joesley disse,48,True
6505,muitos anos,48,True
6496,notícias falsas,48,True
6489,Leo Pinheiro,48,True
6479,governo vai,48,True
6542,primeiro semestre,48,True
6471,outros partidos,48,True
6460,empresário Marcelo,48,True
6473,dúvidas sobre,48,True
6536,cenário político,48,True
6440,Deltan Dallagnol,48,True
6426,Fidel Castro,48,True
6418,ainda pode,48,True
6421,três desembargadores,48,True
6441,advogado Roberto,48,True
6604,Você acha,47,True
30638,Congresso Nacional,47,Fake
6556,Frederico Pacheco,47,True
6708,certa forma,47,True
6701,Previdência Social,47,True
6561,mil quilômetros,47,True
6690,Alberto Youssef,47,True
6716,Instituto Nacional,47,True
6571,segundo lugar,47,True
6662,Marcello Miller,47,True
6609,Mesa Diretora,47,True
6626,Braga Netto,47,True
6717,Toninho Drummond,47,True
6644,qualquer relação,47,True
6685,Luiz Eduardo,47,True
6653,Isso significa,47,True
6666,Osmar Serraglio,47,True
6665,Uma vez,47,True
6654,serviço público,47,True
6658,Neste momento,47,True
6634,QUE DEFENDE,47,True
6713,Carlos Eduardo,47,True
6712,Médico Legal,47,True
6829,prefeito João,46,True
6863,conseguiu contato,46,True
6866,Tasso Jereissati,46,True
6811,exdeputado federal,46,True
30661,Justiça Federal,46,Fake
6871,grandes empresas,46,True
6774,qualquer pessoa,46,True
6757,ter visto,46,True
6778,ser aprovada,46,True
6816,cinco meses,46,True
6753,continua sendo,46,True
6841,após condenação,46,True
6845,Odebrecht disse,46,True
30652,José Dirceu,46,Fake
6808,ação contra,46,True
6807,deixou claro,46,True
6835,nova lei,46,True
6752,manifestar sobre,46,True
6721,faz sentido,46,True
6825,durante todo,46,True
6748,nunca recebeu,46,True
6860,nove meses,46,True
6788,exministro José,46,True
6792,anos 2000,46,True
6737,litoral paulista,46,True
6864,decidir sobre,46,True
6736,Doria PSDB,46,True
6734,Ele ainda,46,True
6789,Nós vamos,46,True
6723,segundo mandato,46,True
6760,serviços públicos,46,True
6978,país vizinho,45,True
7060,Instituto Médico,45,True
7041,Gilberto Kassab,45,True
6912,fazia parte,45,True
6922,pediu desculpas,45,True
6926,algumas pessoas,45,True
6928,neste mês,45,True
