,Unnamed: 0,ID,Veracity,Author,Link,Category,Date,Tokens,Words,Types,Links Inside,Words Uppercase,Verbs,Subjuntive\Imperative Verbs,Nouns,Adjectives,Adverbs,Modal Verbs,Singular\Second Personal Pronouns,Plural First Personal Pronouns,Pronouns,Pausality,Characters,Average Sentence Length,Average Word Length,Percentage of Spelling Errors,Emotiveness,Diversity
26,1021,1021,fake-meta-information,None,https://www.diariodobrasil.org/escandalo-vaticano-vai-julgar-cardeal-que-desviou-verba-de-hospital-infantil-para-reformar-apto-de-700m%c2%b2/,sociedade_cotidiano,2017-07-19 00:00:00,424,369,227,2,4,54,1,104,29,12,10,0,0,16,2.11538,1779,14.1923,4.82114,0.00271003,0.259494,0.6151760000000001
27,1022,1022,fake-meta-information,None,https://www.diariodobrasil.org/a-vinganca-cunha-delata-todos-os-parlamentares-que-receberam-dinheiro-para-afastar-dilma/,politica,2017-07-15 00:00:00,164,144,100,0,3,27,1,45,4,9,8,0,0,10,1.81818,747,13.0909,5.1875,0.0,0.180556,0.694444
28,1023,1023,fake-meta-information,None,https://www.diariodobrasil.org/brasil-tera-neve-somente-amanha-veja-os-locais-onde-o-fenomeno-podera-ocorrer/,sociedade_cotidiano,2017-07-16 00:00:00,229,198,136,1,0,21,1,68,10,13,4,0,0,3,3.1,926,19.8,4.676769999999999,0.00505051,0.258427,0.686869
29,1024,1024,fake-meta-information,None,https://www.diariodobrasil.org/tv-record-promete-desmascarar-a-globo-sonegacao-fiscal-leis-encomendadas-e-emprestimos-bilionarios/,tv_celebridades,2017-07-16 00:00:00,117,97,75,0,3,15,0,31,6,2,2,0,0,1,2.8571400000000002,521,13.8571,5.37113,0.0,0.173913,0.773196
30,1025,1025,fake-meta-information,None,https://www.diariodobrasil.org/lula-desembarca-no-rj-e-e-hostilizado-pela-populacao-%e2%99%aa%e2%99%ab-ladrao-seu-lugar-e-na-prisao-%e2%99%aa%e2%99%ab/,politica,2017-07-16 00:00:00,85,71,58,2,1,13,1,23,2,5,2,0,0,2,1.75,314,8.875,4.422540000000001,0.0,0.194444,0.816901
31,1026,1026,fake-meta-information,None,https://www.diariodobrasil.org/enquanto-venezuelanos-comem-gatos-e-pombos-para-sobreviver-lula-grava-video-de-apoio-a-maduro/,politica,2017-07-17 00:00:00,277,239,155,2,2,41,1,83,9,13,7,0,0,14,2.0,1219,12.5789,5.10042,0.0,0.177419,0.648536
32,1027,1027,fake-meta-information,None,https://www.diariodobrasil.org/neto-de-getulio-vargas-comete-suicidio-pai-e-avo-tambem-se-suicidaram/,sociedade_cotidiano,2017-07-17 00:00:00,118,99,72,0,0,11,0,32,3,5,1,0,0,5,2.11111,485,11.0,4.89899,0.0,0.186047,0.727273
33,1028,1028,fake-meta-information,None,https://www.diariodobrasil.org/pha-pede-a-prisao-dos-donos-da-globo-e-diz-que-jose-serra-e-o-maior-ladrao-do-brasil/,tv_celebridades,2017-07-17 00:00:00,148,122,84,0,5,20,1,40,9,4,1,0,0,5,3.25,537,15.25,4.40164,0.0,0.216667,0.688525
34,1029,1029,fake-meta-information,None,https://www.diariodobrasil.org/deputado-cuspidor-diz-que-moro-nao-tem-carater-condenou-lula-a-9-anos-porque-ele-tem-9-dedos/,politica,2017-12-07 00:00:00,106,88,72,0,2,13,1,29,4,2,0,0,0,6,1.63636,429,8.0,4.875,0.0,0.14285699999999998,0.818182
35,103,103,fake-meta-information,None,https://afolhabrasil.com.br/politica/delacao-da-friboi-coloca-em-risco-o-casamento-de-temer/,politica,2017-05-22 00:00:00,176,160,94,0,1,29,0,48,2,7,7,0,0,9,1.77778,754,17.7778,4.7125,0.0,0.11688299999999999,0.5875
36,1030,1030,fake-meta-information,None,https://www.diariodobrasil.org/doria-manda-recado-para-lula-justica-foi-feita-e-so-a-primeira-de-5-condenacoes/,tv_celebridades,2017-12-07 00:00:00,108,87,57,0,1,22,0,20,8,4,4,0,0,3,1.9090900000000002,411,7.909089999999999,4.72414,0.011494299999999999,0.28571399999999997,0.655172
37,1031,1031,fake-meta-information,None,https://www.diariodobrasil.org/mestres-da-edicao-jon-bon-jovi-cantando-festa-no-ape-e-queen-interpretando-robocop-gay/,ciencia_tecnologia,2017-07-13 00:00:00,103,84,65,0,0,15,2,23,8,4,2,0,0,4,2.11111,412,9.33333,4.90476,0.0,0.315789,0.77381
38,1032,1032,fake-meta-information,None,https://www.diariodobrasil.org/depois-de-chamar-o-stf-de-corte-acovardada-ele-ataca-novamente-e-chama-a-pf-de-carrapatos/,politica,2017-07-13 00:00:00,154,129,90,1,8,20,0,37,7,8,1,0,0,5,1.92308,608,9.92308,4.71318,0.0,0.263158,0.697674
39,1033,1033,fake-meta-information,None,https://www.diariodobrasil.org/homem-faz-apelo-pela-internet-minha-esposa-doou-todo-meu-dinheiro-para-a-igreja-universal-me-ajudem/,tv_celebridades,2017-07-13 00:00:00,148,118,97,0,0,27,3,28,6,3,1,4,0,18,1.66667,566,6.555560000000001,4.79661,0.0,0.163636,0.822034
40,1034,1034,fake-meta-information,None,https://www.diariodobrasil.org/general-manda-recado-para-politicos-nao-ousem-obstruir-a-a-lei-ou-teremos-a-tao-sonhada-intervencao-militar/,tv_celebridades,2017-07-14 00:00:00,230,191,124,1,0,38,3,47,19,15,5,0,0,6,2.78571,969,13.6429,5.0733,0.0104712,0.4,0.649215
41,1035,1035,fake-meta-information,None,https://www.diariodobrasil.org/janot-nocauteia-mendes-caduquice-moral-devaneios-e-diarreia-verbal-video/,politica,2017-07-14 00:00:00,215,167,118,0,3,27,0,48,14,10,0,0,2,13,2.08696,844,7.26087,5.05389,0.0,0.32,0.706587
42,1036,1036,fake-meta-information,None,https://www.diariodobrasil.org/tumulto-e-gritaria-no-senado-policia-legislativa-saca-arma-para-manifestantes/,politica,2017-11-07 00:00:00,119,96,75,0,2,16,0,32,4,6,1,0,0,1,1.91667,502,8.0,5.22917,0.0,0.208333,0.78125
43,1037,1037,fake-meta-information,None,https://www.diariodobrasil.org/kim-chama-trump-de-falastrao-nao-escaparao-do-maior-desastre-nuclear-da-historia/,sociedade_cotidiano,2017-12-07 00:00:00,309,278,174,0,6,44,2,71,23,12,7,0,1,14,1.8235299999999999,1344,16.3529,4.83453,0.0,0.304348,0.625899
44,1038,1038,fake-meta-information,None,https://www.diariodobrasil.org/lula-nao-sera-preso-ao-menos-por-enquanto/,politica,2017-12-07 00:00:00,114,93,73,0,1,18,0,24,3,11,6,0,0,3,1.61538,452,7.15385,4.86022,0.0,0.333333,0.784946
45,1039,1039,fake-meta-information,None,https://www.diariodobrasil.org/deputado-desabafa-governo-lixo-liberou-um-caminhao-de-dinheiro-para-salvar-o-presidente/,politica,2017-11-07 00:00:00,146,120,92,0,3,20,0,39,9,7,0,1,0,6,2.0,612,9.23077,5.1,0.0,0.27118600000000004,0.766667
46,104,104,fake-meta-information,None,https://afolhabrasil.com.br/politica/amigos-de-aecio-temem-que-ele-cometa-suicidio/,politica,2017-05-22 00:00:00,617,560,309,0,7,110,5,120,38,35,20,2,1,62,1.32558,2565,13.0233,4.58036,0.0,0.317391,0.551786
47,1040,1040,fake-meta-information,None,https://www.diariodobrasil.org/saiu-a-sentenca-lula-e-condenado-a-mais-de-9-anos-de-prisao/,politica,2017-12-07 00:00:00,109,95,78,1,5,16,1,31,4,4,4,0,0,1,1.55556,465,10.5556,4.8947400000000005,0.0,0.170213,0.821053
48,1041,1041,fake-meta-information,None,https://www.diariodobrasil.org/ex-zelador-do-triplex-sobre-lula-e-seus-advogados-bando-de-lixo-destruiram-minha-vida-video/,sociedade_cotidiano,2017-12-07 00:00:00,121,103,73,2,0,16,2,28,1,3,1,5,0,18,3.6,437,20.6,4.242719999999999,0.0,0.0909091,0.708738
49,1042,1042,fake-meta-information,None,https://www.diariodobrasil.org/apos-aperto-de-maos-trump-questionou-quem-e-esse-senhor-esquisito/,politica,2017-08-07 00:00:00,98,75,57,0,2,12,1,23,5,1,0,0,0,8,4.6,342,15.0,4.56,0.0,0.171429,0.76
50,1043,1043,fake-meta-information,None,https://www.diariodobrasil.org/audio-de-jose-dirceu-prometendo-retomar-o-poder-no-pais-vaza-nas-redes-sociais/,politica,2017-08-07 00:00:00,254,217,149,1,1,40,0,66,3,6,9,0,0,10,1.94737,1067,11.4211,4.91705,0.0,0.0849057,0.6866359999999999
51,1044,1044,fake-meta-information,None,https://www.diariodobrasil.org/a-deselegancia-de-zeze-passar-a-mulher-da-gente-pra-tras-e-facil-dificil-e-passar-para-frente20/,tv_celebridades,2017-09-07 00:00:00,80,63,42,1,0,13,1,17,5,6,0,0,0,5,3.4,292,12.6,4.63492,0.0,0.366667,0.666667
52,1045,1045,fake-meta-information,None,https://www.diariodobrasil.org/g20-trump-foi-ironico-ao-elogiar-o-brasil-e-temer-acreditou/,politica,2017-08-07 00:00:00,198,165,110,0,2,34,1,42,10,12,4,0,0,6,1.5714299999999999,777,7.857139999999999,4.70909,0.0,0.28947399999999995,0.666667
53,1046,1046,fake-meta-information,None,https://www.diariodobrasil.org/ejacular-21-vezes-por-mes-ajuda-a-reduzir-o-risco-de-cancer-de-prostata/,sociedade_cotidiano,2017-10-07 00:00:00,323,284,176,2,3,39,2,85,15,13,5,0,0,16,1.77273,1425,12.9091,5.0176099999999995,0.0105634,0.225806,0.619718
54,1047,1047,fake-meta-information,None,https://www.diariodobrasil.org/reforma-trabalhista-rural-jornada-diaria-de-12-horas-7-dias-por-semana-e-salario-pago-com-casa-comida/,politica,2017-11-07 00:00:00,232,186,126,1,2,29,3,54,15,10,6,0,0,10,3.28571,895,13.2857,4.8118300000000005,0.0,0.301205,0.677419
55,1048,1048,fake-meta-information,None,https://www.diariodobrasil.org/lobao-ataca-gil-era-rico-depois-virou-ministro-da-cultura-e-ficou-biliardario/,tv_celebridades,2017-08-07 00:00:00,117,91,71,0,0,21,0,26,4,7,2,0,0,5,1.52941,446,5.35294,4.9011,0.0,0.23404299999999997,0.78022
56,1049,1049,fake-meta-information,None,https://www.diariodobrasil.org/mais-uma-gafe-no-exterior-direto-da-alemanha-temer-diz-que-esta-fazendo-o-desemprego-voltarg20/,politica,2017-07-07 00:00:00,109,91,68,0,7,18,2,26,5,3,1,0,0,6,1.8,436,9.1,4.7912099999999995,0.0,0.181818,0.747253
57,105,105,fake-meta-information,None,https://afolhabrasil.com.br/politica/temer-reduz-equipe-da-lava-jato-e-corta-verba-da-policia-federal/,politica,2017-05-21 00:00:00,842,720,371,0,18,94,0,210,18,36,9,1,0,27,3.69697,3343,21.8182,4.64306,0.0,0.17763199999999998,0.515278
58,1050,1050,fake-meta-information,None,https://www.diariodobrasil.org/uruguai-vai-cortar-relacoes-com-o-brasil-nao-negociamos-com-presidente-golpista/,politica,2017-07-07 00:00:00,149,130,80,0,2,24,2,39,6,8,5,0,0,2,2.11111,610,14.4444,4.69231,0.0,0.22222199999999998,0.6153850000000001
59,1051,1051,fake-meta-information,None,https://www.diariodobrasil.org/mae-salva-filho-de-2-anos-que-estava-sendo-atacado-por-dois-caes-no-jardim-de-casa18/,sociedade_cotidiano,2017-08-07 00:00:00,192,170,114,0,0,43,0,44,3,8,7,0,0,10,1.2941200000000002,772,10.0,4.541180000000001,0.0,0.126437,0.670588
60,1052,1052,fake-meta-information,None,https://www.diariodobrasil.org/cunha-manda-recadinho-para-maia-tem-um-capitulo-seu-na-minha-delacao/,politica,2017-08-07 00:00:00,211,182,123,0,4,26,3,56,9,10,2,0,0,9,2.23077,848,14.0,4.65934,0.0,0.23170700000000002,0.675824
61,1053,1053,fake-meta-information,None,https://www.diariodobrasil.org/new-york-times-fim-da-forca-tarefa-de-combate-a-corrupcao-presidente-acusado-de-receber-propina/,politica,2017-08-07 00:00:00,609,548,296,1,4,82,4,157,27,23,12,0,0,31,1.90625,2805,17.125,5.118609999999999,0.0,0.20920500000000003,0.540146
62,1054,1054,fake-meta-information,None,https://www.diariodobrasil.org/lula-tenta-pedir-apoio-aos-chefoes-evangelicos/,politica,2017-08-07 00:00:00,174,154,100,0,3,28,0,47,6,8,5,0,0,12,1.53846,726,11.8462,4.71429,0.0,0.186667,0.649351
63,1055,1055,fake-meta-information,None,https://www.diariodobrasil.org/apple-e-samsung-que-se-cuidem-edir-macedo-joga-praga-nos-celulares-eu-amaldicoo-todos-os-telefones/,tv_celebridades,2017-07-07 00:00:00,90,73,61,0,1,18,3,14,8,4,3,1,0,7,2.125,354,9.125,4.84932,0.0,0.375,0.835616
64,1056,1056,fake-meta-information,None,https://www.diariodobrasil.org/policia-do-vaticano-flagra-orgia-gay-em-apartamento-de-conselheiro-do-papa/,sociedade_cotidiano,2017-06-07 00:00:00,190,167,114,1,0,29,0,51,6,7,2,0,0,9,2.3,869,16.7,5.20359,0.0,0.1625,0.682635
65,1057,1057,fake-meta-information,None,https://www.diariodobrasil.org/presidente-desembarca-na-alemanha-e-diz-la-no-brasil-nao-existe-crise-estamos-gerando-emprego/,politica,2017-07-07 00:00:00,283,224,157,1,4,42,0,67,10,13,7,0,0,9,2.03448,1086,7.724139999999999,4.84821,0.0,0.211009,0.700893
66,1058,1058,fake-meta-information,None,https://www.diariodobrasil.org/grampo-da-pf-mostra-lula-chamando-rodrigo-maia-e-eunicio-oliveira-de-f-parte-1/,politica,2017-07-07 00:00:00,104,84,69,0,4,14,1,29,4,2,2,0,0,1,1.53846,397,6.46154,4.72619,0.0,0.139535,0.8214290000000001
67,1059,1059,fake-meta-information,None,https://www.diariodobrasil.org/angela-merkel-e-donald-trump-fazem-sinal-secreto-dos-illuminati-na-cupula-do-g20/,sociedade_cotidiano,2017-07-07 00:00:00,351,299,194,2,5,44,1,94,24,12,9,0,0,15,2.16667,1514,12.4583,5.06355,0.020066900000000002,0.26087,0.648829
68,106,106,fake-meta-information,None,https://afolhabrasil.com.br/politica/temer-oferece-feijoada-para-aliados-depois-de-ser-denunciado/,politica,2017-05-21 00:00:00,291,248,161,0,11,34,0,80,6,8,3,1,0,17,3.58333,1188,20.6667,4.7903199999999995,0.0,0.122807,0.6491939999999999
69,1060,1060,fake-meta-information,None,https://www.diariodobrasil.org/cidadao-que-chamou-petistas-de-meliantes-e-condenado-a-pagar-indenizacao-de-r-100-um-real07/,sociedade_cotidiano,2017-07-07 00:00:00,161,136,89,0,7,23,0,44,8,2,3,0,0,5,3.5714300000000003,587,19.4286,4.31618,0.00735294,0.149254,0.654412
70,1061,1061,fake-meta-information,None,https://www.diariodobrasil.org/filosofa-petista-entra-em-paranoia-e-diz-que-sergio-moro-age-a-mando-do-fbi/,politica,2017-05-07 00:00:00,338,291,169,0,9,50,2,85,12,9,7,0,0,16,3.3571400000000002,1323,20.7857,4.54639,0.010309299999999999,0.155556,0.580756
71,1062,1062,fake-meta-information,None,https://www.diariodobrasil.org/janot-sobre-as-provas-contra-michel-temer-sao-provas-satanicas/,politica,2017-05-07 00:00:00,133,109,80,0,0,23,2,32,3,3,4,1,0,10,3.4285699999999997,518,15.5714,4.75229,0.0,0.10909100000000001,0.733945
72,1063,1063,fake-meta-information,None,https://www.diariodobrasil.org/pastor-da-ferrari-humilha-paralitico-durante-culto-nao-deu-o-dizimo-voce-nunca-mais-vai-andar/,sociedade_cotidiano,2017-05-07 00:00:00,213,173,125,1,0,28,3,45,9,12,3,0,0,15,2.22222,817,9.61111,4.72254,0.00578035,0.287671,0.722543
73,1064,1064,fake-meta-information,None,https://www.diariodobrasil.org/augusto-nunes-acaba-com-mendes-ele-acha-tudo-normal-logo-aparecera-pelado-so-de-toga/,tv_celebridades,2017-05-07 00:00:00,177,149,102,0,2,28,3,33,9,12,1,0,0,16,2.15385,665,11.4615,4.46309,0.0,0.344262,0.6845640000000001
74,1065,1065,fake-meta-information,None,https://www.diariodobrasil.org/presidente-usa-dinheiro-publico-para-comprar-votos-e-libera-quase-r-2-bi-em-emendas-parlamentares2bi/,politica,2017-05-07 00:00:00,195,166,116,0,7,26,0,51,6,8,2,0,0,10,1.8125,745,10.375,4.48795,0.0,0.181818,0.6987949999999999
75,1066,1066,fake-meta-information,None,https://www.diariodobrasil.org/delacao-de-cunha-promete-afundar-o-pmdb-e-parte-do-judiciario/,politica,2017-06-07 00:00:00,273,232,144,0,9,38,2,67,6,12,8,0,0,9,2.05,1069,11.6,4.60776,0.00431034,0.171429,0.62069
76,1067,1067,fake-meta-information,None,https://www.diariodobrasil.org/tirando-onda-mesmo-que-eu-perca-na-camara-nao-serei-condenado-pelo-stf/,politica,2017-06-07 00:00:00,212,178,120,0,6,38,4,42,8,15,7,1,0,17,1.7894700000000001,863,9.36842,4.84831,0.0,0.2875,0.674157
77,1068,1068,fake-meta-information,None,https://www.diariodobrasil.org/familia-diz-que-homem-da-mala-esta-sendo-torturado-para-entregar-temer-ele-morre-mas-nao-delata/,politica,2017-06-30 00:00:00,282,235,140,0,3,47,3,64,8,17,10,0,0,7,1.95833,1099,9.79167,4.6766,0.0,0.225225,0.595745
78,1069,1069,fake-meta-information,None,https://www.diariodobrasil.org/mulher-confunde-embalagem-de-mousse-para-cabelo-com-espuma-de-poliuretano-e-vai-parar-no-hospital/,sociedade_cotidiano,2017-01-07 00:00:00,147,133,92,1,0,23,0,41,7,5,4,0,0,7,1.75,684,16.625,5.14286,0.0,0.1875,0.691729
79,107,107,fake-meta-information,None,https://afolhabrasil.com.br/politica/bolsonaro-decide-nao-concorrer-presidencia/,politica,2017-05-20 00:00:00,405,347,198,0,5,68,4,100,18,17,6,1,0,16,2.5217400000000003,1736,15.087,5.00288,0.0,0.208333,0.570605
80,1070,1070,fake-meta-information,None,https://www.diariodobrasil.org/stf-manda-soltar-homem-da-mala/,politica,2017-06-30 00:00:00,24,19,17,0,2,4,0,8,0,0,0,0,0,0,1.66667,90,6.33333,4.73684,0.0,0.0,0.8947370000000001
81,1071,1071,fake-meta-information,None,https://www.diariodobrasil.org/doleiros-revelam-onde-cabral-escondia-os-milhoes-que-recebia-de-propina/,politica,2017-01-07 00:00:00,233,200,135,0,0,33,0,58,14,10,2,0,0,9,2.0625,1046,12.5,5.23,0.0,0.263736,0.675
82,1072,1072,fake-meta-information,None,https://www.diariodobrasil.org/politicos-estao-comecando-a-morder-professor-cobra-salario-atrasado-e-recebe-mordida-de-prefeito/,sociedade_cotidiano,2017-01-07 00:00:00,276,232,156,0,4,38,0,64,9,12,4,1,0,21,3.1428599999999998,1060,16.5714,4.568969999999999,0.00431034,0.205882,0.6724140000000001
83,1073,1073,fake-meta-information,None,https://www.diariodobrasil.org/carta-psicografada-de-cassia-eller-emociona-reencarnarei-numa-comunidade-carente-no-interior-do-brasil/,tv_celebridades,2017-02-07 00:00:00,157,132,97,0,1,28,1,38,3,7,7,0,0,3,3.5714300000000003,647,18.8571,4.90152,0.0,0.151515,0.734848
