,TextBlob Polarity,TextBlob Subjectivity,VADER negative,VADER neutral,VADER positive,VADER compound
1024,0.0,0.8333333333333334,0.024,0.97,0.007,-0.8994
1025,0.0,0.0,0.028,0.967,0.005,-0.93
1026,0.35714285714285715,0.5357142857142857,0.021,0.967,0.011,-0.9083
1027,0.0,0.0,0.062,0.938,0.0,-0.9705
1028,0.17424242424242423,0.6621212121212121,0.031,0.964,0.005,-0.9885
1029,0.0,0.0,0.041,0.959,0.0,-0.9875
103,-0.1,0.1,0.037,0.956,0.007,-0.836
1030,-0.07083333333333335,0.75,0.017,0.977,0.006,-0.9177
1031,0.0,0.0,0.07,0.926,0.005,-0.9894
1032,0.16428571428571428,0.6928571428571428,0.041,0.947,0.012,-0.9926
1033,-0.45,0.55,0.022,0.951,0.027,0.932
1034,0.04000000000000001,0.5,0.026,0.974,0.0,-0.9393
1035,0.10625,0.675,0.031,0.956,0.012,-0.965
1036,0.2666666666666666,0.5111111111111111,0.045,0.928,0.027,-0.9708
1037,0.016666666666666673,0.5,0.027,0.973,0.0,-0.9517
1038,0.7,0.9,0.029,0.957,0.014,-0.743
1039,0.051754385964912275,0.13508771929824565,0.032,0.963,0.005,-0.9911
104,0.0,0.25,0.034,0.966,0.0,-0.9313
1040,0.0,0.0,0.05,0.945,0.005,-0.9755
1041,0.011250000000000001,0.44499999999999995,0.032,0.954,0.014,-0.9825
1042,0.0826530612244898,0.5489795918367347,0.026,0.968,0.006,-0.9633
1043,0.16785714285714287,0.6928571428571428,0.029,0.962,0.009,-0.9711
1044,0.15000000000000002,0.16666666666666666,0.019,0.974,0.007,-0.9603
1045,0.3125,0.7916666666666666,0.022,0.962,0.016,-0.6369
1046,0.025333333333333333,0.5826666666666668,0.037,0.962,0.002,-0.9975
1047,0.10555555555555556,0.25555555555555554,0.022,0.977,0.002,-0.9854
1048,-0.8,1.0,0.021,0.979,0.0,-0.91
1049,0.025,1.0,0.054,0.946,0.0,-0.9776
105,0.03333333333333333,0.06666666666666667,0.018,0.982,0.0,-0.9081
1050,-0.2388888888888889,0.6888888888888888,0.021,0.973,0.005,-0.886
1051,0.15,0.6499999999999999,0.022,0.974,0.004,-0.9423
1052,0.37777777777777777,0.7388888888888889,0.027,0.949,0.023,0.453
1053,-0.14940476190476196,0.6869047619047619,0.037,0.959,0.004,-0.9959
1054,0.0,0.0,0.015,0.985,0.0,-0.7783
1055,0.1125,0.25,0.019,0.976,0.005,-0.9734
1056,0.10416666666666667,0.7333333333333334,0.023,0.974,0.004,-0.985
1057,0.20393939393939395,0.6175757575757576,0.029,0.968,0.003,-0.9901
1058,0.05,1.0,0.025,0.975,0.0,-0.972
1059,0.20370370370370372,0.4444444444444444,0.016,0.976,0.008,-0.7993
106,0.0,0.0,0.035,0.965,0.0,-0.8807
1060,-0.15000000000000002,0.9166666666666667,0.023,0.977,0.0,-0.9176
1061,0.11439393939393937,0.7060606060606059,0.027,0.967,0.006,-0.9862
1062,0.0,0.0,0.02,0.98,0.0,-0.8613
1063,-0.03409090909090908,0.7506493506493507,0.027,0.934,0.04,0.9745
1064,-0.14907407407407408,0.7462962962962963,0.024,0.966,0.01,-0.9868
1065,0.1,0.475,0.017,0.978,0.005,-0.9147
1066,0.025,1.0,0.018,0.974,0.008,-0.7351
1067,0.7,0.9,0.028,0.968,0.004,-0.9408
1068,-0.008333333333333358,0.5083333333333334,0.02,0.974,0.006,-0.9231
1069,0.125,0.20833333333333334,0.04,0.956,0.004,-0.9921
107,0.7,0.9,0.026,0.974,0.0,-0.7391
1070,0.1,0.1,0.007,0.975,0.018,0.5574
1071,-0.1,0.1375,0.04,0.96,0.0,-0.9657
1072,0.11904761904761905,0.18571428571428572,0.023,0.976,0.001,-0.9945
1073,0.165625,0.75,0.056,0.933,0.011,-0.9969
1074,0.13999999999999999,0.5,0.013,0.98,0.008,-0.5574
1075,-0.49,0.7899999999999999,0.017,0.98,0.003,-0.9594
1076,-0.11250000000000002,0.475,0.03,0.961,0.009,-0.9541
1077,-0.15,0.7,0.029,0.965,0.006,-0.9463
1078,0.24444444444444444,0.32222222222222224,0.046,0.947,0.007,-0.9813
1079,-0.012727272727272733,0.5788111888111888,0.03,0.968,0.001,-0.9988
108,0.0,0.0,0.023,0.965,0.012,-0.5267
1080,0.025000000000000005,0.5,0.018,0.978,0.004,-0.8105
1081,0.0,0.0,0.013,0.987,0.0,-0.8299
1082,0.0,1.0,0.045,0.942,0.013,-0.9745
1083,-0.12361111111111112,0.36944444444444446,0.024,0.969,0.006,-0.984
1084,0.1791666666666667,0.364823717948718,0.015,0.979,0.007,-0.7717
1085,0.03333333333333333,0.06666666666666667,0.032,0.968,0.0,-0.9682
1086,-0.06999999999999999,0.36,0.027,0.966,0.007,-0.9846
1087,-0.07500000000000001,0.625,0.025,0.973,0.002,-0.9811
1088,0.039999999999999994,0.255,0.018,0.917,0.065,0.9944
1089,0.05,1.0,0.035,0.961,0.004,-0.961
109,-0.325,0.5966880341880342,0.048,0.944,0.007,-0.9928
1090,0.25,0.9400000000000001,0.03,0.965,0.005,-0.9913
1091,0.375,0.75,0.019,0.974,0.007,-0.871
1092,0.16666666666666666,0.9166666666666666,0.024,0.969,0.008,-0.9599
1093,-0.4,0.875,0.028,0.966,0.006,-0.9182
1094,-0.12222222222222223,0.7833333333333333,0.029,0.968,0.003,-0.9927
1095,-0.15625,0.375,0.012,0.944,0.044,0.9655
1096,-0.02083333333333334,0.425,0.028,0.964,0.008,-0.8977
1097,0.0,0.0,0.036,0.958,0.006,-0.9246
1098,0.0,0.75,0.033,0.967,0.0,-0.9744
1099,-0.23333333333333336,0.3666666666666667,0.024,0.969,0.007,-0.8618
11,0.0,0.0,0.022,0.978,0.0,-0.6808
110,0.0,0.0,0.014,0.935,0.05,0.7506
1100,0.0,0.0,0.005,0.989,0.006,0.1779
1101,0.1,0.275,0.035,0.96,0.006,-0.9786
1102,0.11999999999999997,0.52,0.026,0.97,0.005,-0.9836
1103,0.205,0.72,0.041,0.94,0.019,-0.9855
1104,0.01,0.95,0.01,0.99,0.0,-0.7088
1105,-0.4,0.875,0.014,0.98,0.006,-0.6448
1106,0.1,0.1,0.024,0.961,0.015,-0.4939
1107,-0.10000000000000002,0.0,0.008,0.986,0.007,0.1531
1108,0.16666666666666666,0.39999999999999997,0.018,0.964,0.018,0.4985
1109,0.17878787878787875,0.4136363636363637,0.031,0.958,0.011,-0.9825
111,-0.8,1.0,0.011,0.989,0.0,-0.8738
1110,0.0,0.4,0.02,0.971,0.01,-0.7725
1111,0.0625,0.3875,0.019,0.981,0.0,-0.8402
1112,0.052430555555555564,0.4840277777777779,0.023,0.969,0.008,-0.9865
1113,-0.375,1.0,0.02,0.974,0.006,-0.875
1114,0.07222222222222223,0.09444444444444444,0.021,0.972,0.006,-0.9599
1115,0.24444444444444444,0.5722222222222223,0.014,0.98,0.006,-0.9614
1116,0.04375,0.9375,0.023,0.975,0.001,-0.9624
1117,0.2333333333333333,0.3333333333333333,0.064,0.913,0.024,-0.9329
1118,-0.07333333333333333,0.4883333333333334,0.015,0.983,0.002,-0.9695
1119,0.15402930402930404,0.3981684981684982,0.039,0.938,0.023,-0.9454
112,0.0,0.0,0.0,1.0,0.0,0.0
1120,0.0,1.0,0.038,0.953,0.009,-0.9382
1121,0.17959956709956712,0.45303030303030306,0.041,0.945,0.014,-0.9184
1122,0.1,0.4,0.011,0.97,0.019,0.7845
1123,0.375,0.75,0.023,0.953,0.024,0.5362
1124,0.08166666666666667,0.16333333333333333,0.016,0.977,0.006,-0.8442
1125,-0.02,0.62,0.014,0.986,0.0,-0.9081
1126,-0.03333333333333334,0.08333333333333334,0.03,0.97,0.0,-0.9393
1127,0.03333333333333333,0.06666666666666667,0.034,0.955,0.011,-0.9494
1128,-0.35000000000000003,0.7777777777777778,0.026,0.969,0.005,-0.9879
1129,0.20384615384615382,0.7153846153846154,0.029,0.955,0.017,-0.9383
113,0.0,0.0,0.023,0.977,0.0,-0.7783
1130,-0.053125000000000006,0.3125,0.013,0.979,0.009,-0.4592
1131,-0.2125,0.8249999999999998,0.044,0.954,0.001,-0.9929
1132,0.3,0.5,0.029,0.962,0.009,-0.8674
1133,-0.08125,0.50625,0.022,0.972,0.006,-0.9948
1134,0.1625,0.7083333333333334,0.017,0.974,0.009,-0.8105
1135,0.7,0.9,0.021,0.959,0.02,0.2732
1136,-0.036111111111111115,0.5861111111111111,0.026,0.964,0.01,-0.9022
1137,0.5166666666666666,0.7833333333333333,0.015,0.965,0.019,0.7599
1138,0.016666666666666666,0.5333333333333333,0.02,0.975,0.005,-0.8956
1139,0.6499999999999999,0.9,0.023,0.943,0.034,0.7351
114,0.0,0.55,0.014,0.986,0.0,-0.765
1140,0.016666666666666666,0.5333333333333333,0.023,0.965,0.012,-0.9278
1141,0.09999999999999998,0.8166666666666668,0.039,0.938,0.022,-0.7096
1142,0.1,0.1,0.013,0.978,0.009,-0.128
1143,0.7,0.9,0.021,0.944,0.035,0.7717
1144,0.20286458333333332,0.4645833333333334,0.022,0.958,0.02,0.8363
1145,0.2,0.30000000000000004,0.02,0.972,0.008,-0.3637
1146,-0.6000000000000001,1.0,0.019,0.975,0.006,-0.6676
1147,-0.01103896103896105,0.6266233766233766,0.014,0.982,0.004,-0.9848
1148,-0.15333333333333335,0.7433333333333333,0.017,0.977,0.006,-0.875
1149,0.05,1.0,0.03,0.962,0.007,-0.9638
115,0.016666666666666666,0.08333333333333334,0.026,0.965,0.009,-0.8385
1150,0.2333333333333333,0.9666666666666667,0.014,0.979,0.008,-0.7227
1151,-0.375,1.0,0.016,0.984,0.0,-0.8402
1152,0.14285714285714285,0.31428571428571433,0.019,0.965,0.016,0.296
1153,0.16666666666666666,0.2777777777777778,0.019,0.977,0.004,-0.8268
1154,0.11770833333333333,0.4260416666666666,0.02,0.976,0.004,-0.9903
1155,-0.19375,0.79375,0.023,0.976,0.001,-0.9845
1156,-6.938893903907228e-18,0.48124999999999996,0.017,0.98,0.003,-0.9151
1157,0.024999999999999977,0.8875,0.023,0.971,0.005,-0.9694
1158,0.02,0.8800000000000001,0.036,0.945,0.018,-0.963
1159,0.0,1.0,0.014,0.986,0.0,-0.5267
116,0.0,0.25,0.018,0.966,0.015,-0.0516
1160,0.14285714285714285,0.2857142857142857,0.043,0.94,0.017,-0.872
1161,0.025,0.0625,0.04,0.953,0.007,-0.9761
1162,-0.5787878787878787,0.8469696969696969,0.015,0.98,0.005,-0.9308
1163,0.20454545454545453,0.49681818181818177,0.01,0.985,0.005,-0.6124
1164,0.2611111111111111,0.6555555555555556,0.024,0.958,0.018,-0.4031
1165,0.0380952380952381,0.5150793650793651,0.027,0.969,0.004,-0.9956
1166,0.0,0.0,0.03,0.964,0.006,-0.8179
1167,0.2125,0.875,0.024,0.974,0.002,-0.9539
1168,0.375,0.75,0.031,0.964,0.006,-0.9531
1169,-0.26904761904761904,0.6333333333333332,0.013,0.981,0.006,-0.8718
117,0.475,0.7374999999999999,0.026,0.952,0.022,0.0516
1170,0.0,0.0,0.022,0.978,0.0,-0.5267
1171,-0.27499999999999997,0.8333333333333334,0.027,0.962,0.01,-0.951
1172,0.5166666666666667,0.48333333333333334,0.033,0.958,0.009,-0.9875
1173,0.6,0.9,0.02,0.976,0.004,-0.9062
1174,0.0,0.0,0.019,0.981,0.0,-0.8402
1175,0.2,0.525,0.027,0.963,0.01,-0.97
1176,0.05555555555555555,0.7777777777777778,0.032,0.967,0.001,-0.9845
1177,0.0,0.0,0.022,0.965,0.013,-0.5859
1178,-0.07083333333333335,0.25,0.03,0.97,0.0,-0.9801
1179,-0.30000000000000004,0.625,0.019,0.97,0.011,-0.6919
118,-0.4,0.5,0.008,0.992,0.0,-0.6808
1180,0.2,0.30000000000000004,0.043,0.948,0.01,-0.9368
1181,0.030555555555555555,0.24444444444444444,0.021,0.977,0.002,-0.9665
1182,0.0,1.0,0.048,0.95,0.002,-0.9899
1183,0.2625,0.7,0.03,0.965,0.005,-0.9477
1184,0.03333333333333333,0.10000000000000002,0.039,0.958,0.002,-0.9693
1185,0.0,0.0,0.015,0.972,0.013,0.0428
1186,0.05714285714285713,0.4714285714285714,0.023,0.965,0.013,-0.9363
1187,0.0,0.4166666666666667,0.029,0.971,0.0,-0.9081
1188,0.3333333333333333,0.9,0.016,0.955,0.029,0.9619
1189,-0.12500000000000003,0.50625,0.022,0.971,0.007,-0.9899
119,-0.8,1.0,0.008,0.992,0.0,-0.296
1190,-0.25,0.79,0.014,0.978,0.008,-0.7185
1191,0.016666666666666666,0.15833333333333333,0.042,0.958,0.0,-0.9806
1192,0.0,0.15,0.017,0.983,0.0,-0.9055
1193,-0.10000000000000003,0.95,0.02,0.977,0.003,-0.9002
1194,-0.13333333333333336,0.4666666666666666,0.021,0.968,0.011,-0.7971
1195,0.05,1.0,0.003,0.992,0.004,0.1779
1196,0.005555555555555556,0.1361111111111111,0.029,0.966,0.005,-0.9948
1197,0.06666666666666667,0.5733333333333333,0.029,0.956,0.015,-0.8126
1198,0.15,0.7203703703703704,0.027,0.952,0.021,-0.4521
1199,0.033333333333333305,0.4666666666666667,0.033,0.961,0.006,-0.9686
12,0.0,0.0,0.008,0.981,0.011,-0.1027
120,0.11666666666666667,0.18333333333333335,0.02,0.98,0.0,-0.8807
1200,0.03333333333333334,0.4666666666666667,0.039,0.959,0.002,-0.9802
1201,0.06666666666666667,0.2333333333333333,0.024,0.967,0.009,-0.829
1202,0.0,0.0,0.029,0.971,0.0,-0.917
1203,0.023333333333333338,0.5266666666666666,0.023,0.972,0.005,-0.8413
1204,0.028571428571428574,0.9285714285714286,0.018,0.978,0.004,-0.9853
1205,0.041666666666666664,0.7999999999999999,0.019,0.971,0.011,-0.5423
1206,0.0,0.0,0.027,0.955,0.018,-0.25
1207,0.0,0.0,0.022,0.974,0.004,-0.913
1208,-0.8,1.0,0.022,0.975,0.004,-0.8105
1209,0.0,0.0,0.004,0.991,0.005,0.2342
121,-0.375,1.0,0.018,0.982,0.0,-0.9081
1210,0.0,0.0,0.004,0.996,0.0,-0.296
1211,-0.7305555555555555,0.9222222222222222,0.023,0.957,0.02,0.1195
1212,0.44999999999999996,0.55,0.023,0.965,0.012,-0.6705
1213,0.2,0.30000000000000004,0.031,0.961,0.009,-0.7318
1214,0.0,1.0,0.024,0.954,0.021,0.1027
1215,0.022222222222222223,0.12777777777777777,0.019,0.962,0.018,0.1695
1216,-0.15000000000000002,0.39999999999999997,0.019,0.979,0.002,-0.8722
1217,0.0375,0.6285714285714287,0.044,0.951,0.005,-0.9931
1218,-0.012500000000000011,0.975,0.021,0.968,0.011,-0.8833
1219,0.19166666666666665,0.3333333333333333,0.036,0.961,0.003,-0.9871
122,0.0,0.0,0.04,0.958,0.003,-0.9485
1220,-0.25,0.85,0.033,0.967,0.0,-0.9657
1221,0.0,0.0,0.036,0.964,0.0,-0.9709
1222,0.0,0.0,0.028,0.957,0.015,-0.5583
1223,-0.0033333333333333505,0.7433333333333334,0.019,0.975,0.006,-0.956
1224,0.01423611111111111,0.3138888888888889,0.021,0.976,0.003,-0.9905
1225,0.04,0.24,0.028,0.969,0.002,-0.9726
1226,0.0016666666666666607,0.7733333333333333,0.031,0.96,0.009,-0.9929
1227,0.0,0.0,0.008,0.976,0.017,0.7291
1228,0.0,0.0,0.026,0.97,0.003,-0.9528
1229,0.0,1.0,0.007,0.993,0.0,-0.5583
123,0.0,0.0,0.042,0.937,0.021,-0.7279
1230,0.16666666666666666,0.3333333333333333,0.019,0.949,0.033,0.7184
1231,0.075,0.7,0.033,0.957,0.01,-0.8602
1232,-0.03333333333333333,0.20000000000000004,0.036,0.951,0.013,-0.8825
1233,0.03333333333333333,0.06666666666666667,0.034,0.952,0.014,-0.6814
1234,0.06666666666666667,0.39999999999999997,0.025,0.965,0.01,-0.8942
1235,-0.8,1.0,0.024,0.965,0.012,-0.7967
1236,0.043333333333333335,0.5066666666666666,0.023,0.971,0.006,-0.9274
1237,0.05333333333333333,0.4866666666666667,0.028,0.969,0.004,-0.9745
1238,-0.8,1.0,0.04,0.944,0.016,-0.926
1239,0.0,0.0,0.041,0.947,0.011,-0.9698
124,0.5,1.0,0.035,0.965,0.0,-0.9274
1240,0.04166666666666667,0.5333333333333333,0.023,0.974,0.004,-0.9232
1241,-0.2357142857142857,0.8928571428571429,0.018,0.979,0.003,-0.932
1242,-0.005555555555555554,0.5277777777777778,0.024,0.972,0.004,-0.9573
1243,-0.23333333333333336,0.7000000000000001,0.02,0.971,0.009,-0.4416
1244,-0.014453125000000011,0.5983516483516483,0.024,0.966,0.01,-0.9812
1245,-0.04747023809523809,0.40952380952380957,0.019,0.978,0.003,-0.9291
1246,0.2333333333333333,0.7000000000000001,0.037,0.959,0.004,-0.9468
1247,-0.8,1.0,0.0,0.984,0.016,0.8555
1248,-0.026666666666666682,0.8466666666666667,0.03,0.968,0.002,-0.9892
1249,0.075,0.30833333333333335,0.011,0.987,0.001,-0.9282
125,0.15,0.25,0.025,0.954,0.021,-0.2066
1250,0.7,0.9,0.029,0.963,0.008,-0.891
1251,0.6999999999999998,0.9,0.019,0.971,0.01,-0.6486
1252,0.1733333333333333,0.44666666666666666,0.016,0.979,0.004,-0.8162
1253,0.09222222222222225,0.44803418803418793,0.019,0.976,0.005,-0.9868
1254,0.08333333333333333,0.9055555555555556,0.032,0.949,0.019,-0.8947
1255,0.29713541666666665,0.41458333333333336,0.024,0.973,0.002,-0.9903
1256,0.11666666666666665,0.9333333333333332,0.049,0.946,0.006,-0.9893
1257,0.27499999999999997,0.39999999999999997,0.019,0.979,0.002,-0.974
1258,0.0,0.0,0.012,0.988,0.0,-0.4939
1259,0.010156249999999992,0.3671875,0.023,0.966,0.011,-0.9831
126,-0.23333333333333334,0.5333333333333333,0.062,0.935,0.003,-0.9868
1260,0.0,0.0,0.03,0.97,0.0,-0.9413
1261,0.15833333333333333,0.26666666666666666,0.029,0.961,0.01,-0.9459
1262,-0.059523809523809534,0.2666666666666667,0.024,0.973,0.003,-0.9861
1263,0.3666666666666667,0.5777777777777778,0.023,0.966,0.011,-0.7623
1264,0.06666666666666667,0.10000000000000002,0.025,0.972,0.003,-0.8519
1265,0.13229166666666667,0.30833333333333335,0.038,0.955,0.007,-0.989
1266,-0.21607142857142858,0.6071428571428571,0.02,0.976,0.004,-0.9416
1267,0.6,0.9,0.031,0.962,0.007,-0.7939
1268,0.4375,0.875,0.019,0.975,0.006,-0.8126
1269,0.075,0.32499999999999996,0.014,0.986,0.0,-0.802
127,0.0,0.0,0.029,0.969,0.002,-0.9476
1270,0.3333333333333333,0.7833333333333333,0.034,0.939,0.027,-0.2732
1271,-0.30000000000000004,0.6,0.022,0.966,0.011,-0.5106
1272,-0.1,0.1,0.014,0.986,0.0,-0.836
1273,0.0,0.5625,0.021,0.979,0.0,-0.9287
1274,0.14429824561403515,0.605263157894737,0.014,0.978,0.008,-0.961
1275,-0.00833333333333334,0.45897435897435895,0.025,0.972,0.004,-0.8779
1276,-0.1875,1.0,0.014,0.984,0.002,-0.8176
1277,0.0,0.0,0.015,0.985,0.0,-0.8807
1278,0.0,0.75,0.011,0.987,0.003,-0.6481
1279,-0.15000000000000002,0.325,0.019,0.976,0.005,-0.8478
128,0.13020833333333334,0.625,0.025,0.967,0.008,-0.9307
1280,-0.06000000000000002,0.76,0.011,0.973,0.016,0.7481
1281,-0.028571428571428574,0.5214285714285715,0.028,0.972,0.0,-0.9595
1282,0.175,0.75,0.013,0.967,0.019,0.8517
1283,0.05,0.05,0.015,0.985,0.0,-0.6808
1284,0.016666666666666673,0.5,0.026,0.974,0.0,-0.9441
1285,0.0,0.0,0.021,0.964,0.015,-0.4767
1286,0.23499999999999996,0.7600000000000001,0.027,0.956,0.017,-0.8039
1287,-0.2744047619047619,0.5154761904761905,0.019,0.975,0.006,-0.9406
1288,-0.01666666666666668,0.9666666666666667,0.023,0.972,0.005,-0.91
1289,0.2375,0.5625,0.02,0.969,0.011,-0.656
129,0.24583333333333332,0.44166666666666665,0.022,0.969,0.009,-0.8054
1290,-0.13333333333333333,0.875,0.021,0.976,0.003,-0.9774
1291,-0.17500000000000002,0.85,0.014,0.982,0.004,-0.782
1292,0.05,1.0,0.015,0.975,0.01,-0.6025
1293,0.05000000000000002,0.5,0.011,0.989,0.0,-0.6808
1294,0.0,0.0,0.022,0.978,0.0,-0.8402
1295,0.0,0.0,0.011,0.989,0.0,-0.296
1296,0.3,0.65,0.018,0.977,0.005,-0.9442
1297,0.1534722222222222,0.4444444444444445,0.022,0.966,0.011,-0.9109
1298,0.025000000000000005,0.7083333333333334,0.024,0.967,0.009,-0.9786
1299,-0.016666666666666666,0.0,0.047,0.951,0.002,-0.9878
13,0.09166666666666667,0.2583333333333333,0.0,0.978,0.022,0.5994
130,0.0,0.2,0.046,0.934,0.02,-0.8225
1300,0.2,0.2,0.043,0.953,0.005,-0.9779
1301,0.07708333333333334,0.14791666666666667,0.021,0.975,0.005,-0.9475
1302,-0.8,1.0,0.013,0.987,0.0,-0.7783
1303,-0.26458333333333334,0.7583333333333333,0.023,0.972,0.005,-0.8611
1304,0.033333333333333305,0.7000000000000001,0.037,0.935,0.028,-0.6369
1305,-0.8,1.0,0.033,0.967,0.0,-0.9566
1306,0.0,0.75,0.008,0.985,0.007,-0.25
1307,0.10876736111111111,0.3222222222222222,0.017,0.983,0.0,-0.9394
1308,0.0,0.0,0.014,0.983,0.002,-0.8074
1309,0.375,0.5,0.022,0.978,0.0,-0.9799
131,-0.1,0.30000000000000004,0.058,0.934,0.008,-0.9719
1310,0.016666666666666666,0.22083333333333333,0.046,0.951,0.003,-0.9756
1311,0.15,0.24444444444444446,0.007,0.989,0.003,-0.3182
1312,0.004444444444444445,0.24888888888888888,0.024,0.974,0.001,-0.9903
1313,0.011111111111111108,0.36388888888888893,0.062,0.935,0.002,-0.9844
1314,0.2555555555555556,0.3444444444444444,0.011,0.987,0.002,-0.9363
1315,0.5333333333333333,0.9666666666666667,0.033,0.953,0.014,-0.9514
1316,0.05416666666666667,0.5833333333333334,0.015,0.983,0.001,-0.9388
1317,0.12,0.18666666666666668,0.06,0.933,0.008,-0.9946
1318,-0.23333333333333336,0.7999999999999999,0.03,0.97,0.0,-0.9413
1319,0.0,0.0,0.054,0.946,0.0,-0.9246
132,0.05,1.0,0.009,0.979,0.012,0.34
1320,0.0,0.0625,0.024,0.976,0.0,-0.9719
1321,-0.1875,0.5,0.025,0.963,0.012,-0.7713
1322,0.1375,0.3,0.023,0.977,0.0,-0.9809
1323,0.0,1.0,0.019,0.981,0.0,-0.7622
1324,-0.07857142857142858,0.6785714285714286,0.04,0.953,0.007,-0.985
1325,0.0,0.0,0.013,0.977,0.01,-0.2732
1326,-0.10000000000000002,0.5,0.032,0.957,0.011,-0.9069
1327,-0.8,1.0,0.015,0.982,0.003,-0.8176
1328,0.06818181818181818,0.7272727272727273,0.059,0.941,0.0,-0.9274
1329,0.04666666666666667,0.22333333333333333,0.033,0.963,0.004,-0.9867
133,0.0,0.0,0.011,0.989,0.0,-0.5267
1330,0.03750000000000001,0.6666666666666666,0.014,0.977,0.009,-0.4843
1331,0.07499999999999998,0.425,0.044,0.942,0.013,-0.9765
1332,0.0,0.0,0.044,0.952,0.005,-0.8689
1333,0.0,0.25,0.028,0.97,0.002,-0.9843
1334,0.05000000000000002,0.5,0.0,1.0,0.0,0.0
1335,0.17023809523809524,0.3761904761904762,0.021,0.968,0.011,-0.6167
1336,-0.22136363636363637,0.6854545454545454,0.018,0.98,0.002,-0.9697
1337,-0.8,1.0,0.023,0.958,0.019,0.1444
1338,0.0,0.0,0.013,0.977,0.01,-0.1779
1339,-0.15416666666666667,0.48333333333333334,0.023,0.975,0.002,-0.9705
134,0.255,0.43499999999999994,0.026,0.957,0.016,-0.8995
1340,0.05,1.0,0.034,0.962,0.005,-0.9372
1341,0.0,1.0,0.016,0.984,0.0,-0.7783
1342,-0.13749999999999998,0.39999999999999997,0.027,0.967,0.006,-0.9847
1343,0.0,0.0,0.012,0.988,0.0,-0.8105
1344,0.0,0.0,0.0,0.992,0.008,0.4404
1345,0.0,0.0,0.028,0.972,0.0,-0.8316
1346,0.6,0.9,0.008,0.983,0.009,0.0772
1347,-0.49090909090909096,0.7886363636363637,0.014,0.986,0.0,-0.7783
1348,-0.07222222222222223,0.6722222222222223,0.021,0.979,0.0,-0.9754
1349,0.0,0.0,0.018,0.982,0.0,-0.765
135,0.9,1.0,0.012,0.979,0.008,-0.6767
1350,-0.17,0.5,0.034,0.965,0.001,-0.9943
1351,0.5,0.5,0.029,0.969,0.002,-0.9509
1352,0.12192760942760944,0.4261784511784511,0.029,0.966,0.005,-0.9895
1353,0.0,0.65,0.01,0.987,0.003,-0.5994
1354,-0.8,1.0,0.023,0.977,0.0,-0.765
1355,0.016666666666666666,0.06666666666666667,0.011,0.986,0.003,-0.886
1356,0.6,0.9,0.005,0.985,0.01,0.3182
1357,0.03333333333333333,0.06666666666666667,0.016,0.982,0.002,-0.936
1358,0.1525974025974026,0.4285714285714286,0.048,0.928,0.024,-0.9244
1359,-0.26999999999999996,0.48,0.019,0.981,0.0,-0.9538
136,0.16805555555555554,0.28611111111111115,0.044,0.952,0.004,-0.9745
1360,0.0,0.0,0.007,0.993,0.0,-0.5267
1361,0.2,0.30000000000000004,0.015,0.985,0.0,-0.7783
1362,0.062121212121212126,0.4515151515151515,0.023,0.975,0.003,-0.9593
1363,0.0,1.0,0.031,0.965,0.004,-0.9862
1364,-0.15000000000000002,0.6777777777777777,0.025,0.975,0.0,-0.9686
1365,-0.42500000000000004,0.525,0.032,0.968,0.0,-0.9531
