,TextBlob Polarity,TextBlob Subjectivity,VADER negative,VADER neutral,VADER positive,VADER compound
1107,-0.10000000000000002,0.03333333333333333,0.028,0.959,0.013,-0.3818
1108,0.03333333333333335,0.3666666666666667,0.0,0.98,0.02,0.5859
1109,0.125,0.1,0.021,0.969,0.01,-0.3678
111,0.0,0.0,0.019,0.981,0.0,-0.5267
1110,0.0,0.0,0.011,0.989,0.0,-0.296
1111,0.0,0.0,0.02,0.955,0.025,0.128
1112,-0.75,1.0,0.007,0.98,0.013,0.6597
1113,0.0,0.0,0.0,1.0,0.0,0.0
1114,0.0,0.0,0.066,0.934,0.0,-0.6808
1115,0.875,0.9,0.016,0.958,0.026,0.4574
1116,0.0,0.0,0.014,0.986,0.0,-0.5597
1117,0.0,0.0,0.031,0.969,0.0,-0.296
1118,0.0,0.0,0.006,0.985,0.009,0.3147
1119,0.0,0.0,0.044,0.956,0.0,-0.5267
112,0.0,0.0,0.0,1.0,0.0,0.0
1120,0.0,0.0,0.012,0.988,0.0,-0.296
1121,0.0,0.25,0.0,1.0,0.0,0.0
1122,0.0,0.0,0.0,1.0,0.0,0.0
1123,0.9375,0.9,0.013,0.94,0.046,0.6688
1124,0.1,0.475,0.023,0.973,0.004,-0.743
1125,0.0,0.0,0.051,0.949,0.0,-0.7531
1126,0.0,0.0,0.023,0.977,0.0,-0.5267
1127,0.0,0.0,0.0,1.0,0.0,0.0
1128,0.0,0.25,0.037,0.945,0.018,-0.4104
1129,0.6,0.9,0.043,0.937,0.021,-0.5848
113,-0.17499999999999996,0.16666666666666666,0.042,0.958,0.0,-0.9206
1130,0.7,0.9,0.024,0.971,0.005,-0.8364
1131,0.0,0.0,0.056,0.944,0.0,-0.8588
1132,0.0,0.0,0.033,0.967,0.0,-0.296
1133,0.0,0.0,0.018,0.982,0.0,-0.5267
1134,0.2,0.2,0.0,0.99,0.01,0.128
1135,0.7,0.9,0.034,0.909,0.057,0.6249
1136,0.0,0.0,0.014,0.986,0.0,-0.3595
1137,0.6,0.9,0.022,0.95,0.028,0.1531
1138,0.0,0.0,0.0,1.0,0.0,0.0
1139,0.0,0.0,0.037,0.895,0.068,0.5719
114,-0.18333333333333335,0.30833333333333335,0.043,0.957,0.0,-0.9081
1140,0.0,0.0,0.0,1.0,0.0,0.0
1141,0.0,0.0,0.07,0.92,0.01,-0.8061
1142,0.0,0.0,0.0,1.0,0.0,0.0
1143,0.0,0.25,0.0,0.99,0.01,0.1531
1144,0.0,0.0,0.0,0.983,0.017,0.4019
1145,0.0,0.0,0.0,1.0,0.0,0.0
1146,0.0,0.0,0.0,1.0,0.0,0.0
1147,0.06666666666666667,0.26666666666666666,0.043,0.943,0.014,-0.8126
1148,0.0,0.0,0.0,1.0,0.0,0.0
1149,0.05,1.0,0.023,0.977,0.0,-0.5267
115,0.0,0.0,0.018,0.982,0.0,-0.5267
1150,0.0,0.0,0.01,0.99,0.0,-0.296
1151,0.1,0.1,0.023,0.977,0.0,-0.5267
1152,0.0,0.0,0.0,1.0,0.0,0.0
1153,0.0,0.0,0.0,1.0,0.0,0.0
1154,1.0,0.9,0.014,0.942,0.044,0.6988
1155,0.375,0.95,0.014,0.964,0.022,0.3182
1156,0.0,0.0,0.0,0.984,0.016,0.296
1157,0.015625,0.9375,0.01,0.99,0.0,-0.5707
1158,0.0,0.0,0.019,0.981,0.0,-0.5411
1159,0.0,0.0,0.013,0.987,0.0,-0.4184
116,-0.8,1.0,0.021,0.979,0.0,-0.6808
1160,0.0,0.0,0.043,0.957,0.0,-0.5267
1161,0.0,0.0,0.08,0.92,0.0,-0.8516
1162,0.0,0.0,0.015,0.985,0.0,-0.3595
1163,0.03333333333333333,0.06666666666666667,0.015,0.985,0.0,-0.3736
1164,0.0,0.0,0.02,0.98,0.0,-0.4314
1165,0.15258789062500003,0.5,0.029,0.971,0.0,-0.8917
1166,0.0,0.0,0.03,0.97,0.0,-0.5859
1167,0.0,0.0,0.0,0.97,0.03,0.5826
1168,0.0,0.0,0.0,1.0,0.0,0.0
1169,0.0,0.0,0.019,0.981,0.0,-0.5803
117,0.0,0.0,0.013,0.96,0.027,0.6486
1170,-0.037500000000000006,0.07500000000000001,0.0,1.0,0.0,0.0
1171,0.0,0.0,0.016,0.984,0.0,-0.296
1172,0.0,0.0,0.0,1.0,0.0,0.0
1173,0.0,0.0,0.01,0.99,0.0,-0.296
1174,0.0,0.0,0.02,0.98,0.0,-0.3595
1175,0.05,1.0,0.021,0.979,0.0,-0.6553
1176,-0.75,1.0,0.032,0.968,0.0,-0.5267
1177,0.3333333333333333,0.6666666666666666,0.014,0.936,0.05,0.765
1178,-0.75,1.0,0.012,0.988,0.0,-0.296
1179,-0.15,0.2,0.052,0.948,0.0,-0.7906
118,0.0,0.375,0.045,0.955,0.0,-0.8402
1180,0.0,0.0,0.116,0.854,0.03,-0.75
1181,-0.4,0.55,0.019,0.981,0.0,-0.5267
1182,0.0,0.0,0.048,0.943,0.008,-0.7971
1183,0.0,0.0,0.0,1.0,0.0,0.0
1184,0.0,0.0,0.0,0.983,0.017,0.4019
1185,0.0,0.0,0.044,0.956,0.0,-0.7268
1186,0.0,0.0,0.012,0.988,0.0,-0.4184
1187,-0.20833333333333331,0.43333333333333335,0.0,1.0,0.0,0.0
1188,0.0,0.0,0.016,0.942,0.042,0.5707
1189,0.19999999999999998,0.8833333333333333,0.017,0.961,0.021,0.2732
119,-0.8,1.0,0.023,0.977,0.0,-0.6808
1190,0.0,0.75,0.014,0.986,0.0,-0.3736
1191,0.0,0.4,0.089,0.911,0.0,-0.9239
1192,0.0,0.0,0.073,0.901,0.026,-0.7164
1193,0.0,0.0,0.0,0.968,0.032,0.4912
1194,0.0,0.0,0.044,0.956,0.0,-0.5267
1195,0.0,0.0,0.0,1.0,0.0,0.0
1196,0.0,0.0,0.056,0.944,0.0,-0.8555
1197,0.0,0.0,0.047,0.953,0.0,-0.5707
1198,0.0,1.0,0.0,1.0,0.0,0.0
1199,0.0,0.0,0.0,1.0,0.0,0.0
12,-0.375,1.0,0.011,0.989,0.0,-0.3736
120,0.0,0.0,0.029,0.963,0.008,-0.875
1200,0.0,0.0,0.082,0.918,0.0,-0.7088
1201,0.0,0.0,0.0,1.0,0.0,0.0
1202,0.0,0.0,0.054,0.946,0.0,-0.8658
1203,0.6,0.9,0.016,0.964,0.02,0.1531
1204,0.7,0.9,0.028,0.972,0.0,-0.7391
1205,0.1875,0.375,0.01,0.977,0.012,0.1007
1206,0.0,0.0,0.079,0.856,0.065,-0.1531
1207,0.0,0.0,0.0,1.0,0.0,0.0
1208,-0.325,0.7,0.0,0.988,0.012,0.296
1209,0.0,0.0,0.015,0.985,0.0,-0.4184
121,0.0,0.0,0.01,0.99,0.0,-0.4836
1210,0.35,0.825,0.036,0.951,0.012,-0.6966
1211,-0.8,1.0,0.033,0.96,0.007,-0.6696
1212,0.03333333333333333,0.06666666666666667,0.0,1.0,0.0,0.0
1213,0.0,0.0,0.017,0.983,0.0,-0.3736
1214,0.0,0.0,0.0,0.97,0.03,0.4926
1215,0.0,0.25,0.019,0.981,0.0,-0.296
1216,0.0,0.0,0.0,1.0,0.0,0.0
1217,0.0,0.0,0.056,0.944,0.0,-0.8553
1218,0.0,0.0,0.03,0.97,0.0,-0.7685
1219,0.0,0.0,0.043,0.957,0.0,-0.7177
122,0.036666666666666674,0.31333333333333335,0.032,0.968,0.0,-0.6808
1220,0.0,0.0,0.021,0.979,0.0,-0.4184
1221,0.0,0.0,0.025,0.975,0.0,-0.296
1222,0.0,0.0,0.03,0.97,0.0,-0.6808
1223,0.1953125,0.4,0.009,0.976,0.014,0.2905
1224,0.05,0.2,0.015,0.97,0.015,0.0
1225,0.0,0.0,0.042,0.958,0.0,-0.7691
1226,0.078125,1.0,0.09,0.91,0.0,-0.9767
1227,0.05,1.0,0.0,1.0,0.0,0.0
1228,0.25,1.0,0.037,0.963,0.0,-0.296
1229,0.0,0.0,0.0,1.0,0.0,0.0
123,0.0,0.25,0.012,0.981,0.007,-0.5248
1230,0.0,0.0,0.0,1.0,0.0,0.0
1231,0.0,0.0,0.0,1.0,0.0,0.0
1232,0.0,0.0,0.0,1.0,0.0,0.0
1233,0.0,0.0,0.0,1.0,0.0,0.0
1234,0.0,0.0,0.052,0.948,0.0,-0.5707
1235,0.0,0.0,0.0,1.0,0.0,0.0
1236,0.0,0.0,0.036,0.942,0.022,-0.2003
1237,0.05,1.0,0.0,1.0,0.0,0.0
1238,0.0,0.0,0.018,0.982,0.0,-0.296
1239,0.0,0.0,0.0,1.0,0.0,0.0
124,-0.30000000000000004,0.65,0.008,0.982,0.01,0.0757
1240,0.0,0.0,0.04,0.96,0.0,-0.8035
1241,0.0,0.0,0.0,1.0,0.0,0.0
1242,0.0,0.0,0.0,0.956,0.044,0.5859
1243,0.0,0.0,0.0,1.0,0.0,0.0
1244,0.0,0.0,0.029,0.971,0.0,-0.5267
1245,0.0,0.125,0.01,0.977,0.013,0.1531
1246,0.0,0.0,0.0,1.0,0.0,0.0
1247,-0.8,1.0,0.024,0.976,0.0,-0.6808
1248,0.0,0.0,0.0,0.987,0.013,0.4926
1249,0.0,0.0,0.017,0.971,0.013,0.2621
125,0.05,1.0,0.011,0.989,0.0,-0.296
1250,0.0,0.0,0.024,0.976,0.0,-0.296
1251,0.04166666666666667,0.5333333333333333,0.015,0.948,0.037,0.3182
1252,0.7,0.9,0.007,0.982,0.011,0.3369
1253,0.7,0.9,0.026,0.964,0.01,-0.5106
1254,0.0,0.0,0.014,0.965,0.021,0.2681
1255,0.0,0.0,0.0,1.0,0.0,0.0
1256,0.0,0.0,0.023,0.977,0.0,-0.3595
1257,0.0,0.0,0.02,0.98,0.0,-0.6808
1258,0.0,0.0,0.0,0.995,0.005,0.1027
1259,0.0,0.0,0.011,0.973,0.016,0.2695
126,0.2,0.30000000000000004,0.043,0.957,0.0,-0.9618
1260,0.05,1.0,0.048,0.952,0.0,-0.7339
1261,0.0,0.0,0.023,0.977,0.0,-0.5267
1262,0.0,0.0,0.007,0.993,0.0,-0.296
1263,0.0,0.0,0.041,0.959,0.0,-0.5267
1264,0.0,0.0,0.024,0.976,0.0,-0.6808
1265,-0.8,1.0,0.019,0.981,0.0,-0.5267
1266,0.0,0.0,0.023,0.977,0.0,-0.6597
1267,-0.225,0.3,0.0,0.961,0.039,0.6931
1268,0.0,0.0,0.023,0.977,0.0,-0.3595
1269,0.049999999999999996,0.3,0.032,0.968,0.0,-0.6996
127,0.03333333333333333,0.06666666666666667,0.015,0.978,0.007,-0.3542
1270,0.05000000000000002,0.5,0.0,1.0,0.0,0.0
1271,-0.375,1.0,0.0,1.0,0.0,0.0
1272,0.0,0.25,0.0,1.0,0.0,0.0
1273,0.3333333333333333,0.6666666666666666,0.04,0.925,0.035,0.128
1274,0.875,0.9,0.0,0.977,0.023,0.8843
1275,0.16666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0
1276,0.0,0.0,0.008,0.992,0.0,-0.296
1277,0.0,0.0,0.019,0.981,0.0,-0.6808
1278,0.0,0.0,0.0,1.0,0.0,0.0
1279,-0.375,0.5,0.0,1.0,0.0,0.0
128,0.4166666666666667,0.5833333333333334,0.016,0.984,0.0,-0.6808
1280,0.0,0.25,0.039,0.961,0.0,-0.7088
1281,0.2,0.30000000000000004,0.0,1.0,0.0,0.0
1282,0.1,0.65,0.011,0.949,0.039,0.6597
1283,0.0,0.0,0.02,0.98,0.0,-0.3818
1284,0.05000000000000002,0.5,0.008,0.992,0.0,-0.296
1285,0.0,0.0,0.021,0.979,0.0,-0.5267
1286,0.0,0.0,0.0,1.0,0.0,0.0
1287,0.16,0.5399999999999999,0.0,0.99,0.01,0.2263
1288,0.1,0.4,0.026,0.959,0.015,-0.2263
1289,0.0,0.0,0.021,0.979,0.0,-0.296
129,-0.2,0.6192307692307693,0.025,0.975,0.0,-0.7668
1290,0.0,0.0,0.0,1.0,0.0,0.0
1291,0.08,0.34500000000000003,0.008,0.979,0.013,0.128
1292,0.10000000000000002,0.43333333333333335,0.007,0.975,0.018,0.3612
1293,0.0,0.0,0.0,1.0,0.0,0.0
1294,0.0,0.0,0.0,1.0,0.0,0.0
1295,0.6,0.9,0.028,0.933,0.038,0.368
1296,0.16666666666666666,0.3333333333333333,0.019,0.973,0.007,-0.4019
1297,0.07777777777777778,0.12222222222222223,0.018,0.977,0.005,-0.6597
1298,0.0,0.0,0.015,0.985,0.0,-0.5267
1299,0.16666666666666666,0.3333333333333333,0.015,0.985,0.0,-0.296
13,0.0,0.75,0.025,0.953,0.021,0.0
130,0.0,0.75,0.025,0.967,0.008,-0.744
1300,0.0,0.0,0.035,0.965,0.0,-0.5267
1301,0.0,0.0,0.012,0.988,0.0,-0.3818
1302,0.0,0.0,0.031,0.969,0.0,-0.7149
1303,-0.6000000000000001,0.75,0.007,0.993,0.0,-0.296
1304,0.0,0.0,0.032,0.968,0.0,-0.5707
1305,0.0,0.0,0.0,1.0,0.0,0.0
1306,0.0,0.0,0.013,0.987,0.0,-0.296
1307,0.0,0.0,0.0,1.0,0.0,0.0
1308,0.0,0.0,0.018,0.982,0.0,-0.296
1309,-0.75,1.0,0.014,0.966,0.02,0.25
131,0.375,0.5,0.013,0.978,0.009,-0.25
1310,0.6,0.9,0.011,0.975,0.014,0.1531
1311,0.0,0.0,0.0,0.976,0.024,0.34
1312,0.0,0.0,0.049,0.951,0.0,-0.6808
1313,0.0,0.0,0.039,0.928,0.033,-0.3067
1314,0.0,0.0,0.031,0.969,0.0,-0.7783
1315,0.0,0.0,0.034,0.966,0.0,-0.3595
1316,0.06250000000000003,0.5,0.02,0.98,0.0,-0.7959
1317,0.0,0.0,0.063,0.938,0.0,-0.6808
1318,0.0,0.0,0.037,0.963,0.0,-0.6808
1319,0.0,0.0,0.025,0.975,0.0,-0.5859
132,0.0,0.0,0.042,0.958,0.0,-0.8861
1320,0.0,0.0,0.053,0.947,0.0,-0.8553
1321,0.0,0.0,0.02,0.98,0.0,-0.643
1322,0.0,0.0,0.0,1.0,0.0,0.0
1323,0.033333333333333326,0.21666666666666667,0.055,0.945,0.0,-0.5514
1324,0.0,0.0,0.067,0.933,0.0,-0.9236
1325,0.0,0.0,0.009,0.985,0.006,-0.2003
1326,0.23055555555555554,0.611111111111111,0.021,0.901,0.078,0.9246
1327,0.0,0.0,0.0,0.969,0.031,0.6884
1328,-0.2878787878787879,0.8181818181818182,0.027,0.969,0.004,-0.8553
1329,0.0,0.0,0.045,0.955,0.0,-0.7088
133,0.09166666666666667,0.6208333333333333,0.019,0.975,0.006,-0.9473
1330,0.0,0.0,0.033,0.967,0.0,-0.6103
1331,-0.4,0.5,0.019,0.981,0.0,-0.296
1332,0.0,0.25,0.031,0.969,0.0,-0.6597
1333,0.0,0.0,0.027,0.973,0.0,-0.753
1334,0.6,0.9,0.0,0.984,0.016,0.4215
1335,0.0,0.0,0.0,1.0,0.0,0.0
1336,0.16666666666666666,0.3333333333333333,0.012,0.988,0.0,-0.296
1337,0.0,0.0,0.0,1.0,0.0,0.0
1338,0.0,0.0,0.0,1.0,0.0,0.0
1339,-0.26666666666666666,0.3333333333333333,0.028,0.972,0.0,-0.5267
134,0.0,0.0,0.047,0.953,0.0,-0.8887
1340,0.0,0.0,0.0,1.0,0.0,0.0
1341,0.2,0.30000000000000004,0.009,0.991,0.0,-0.296
1342,0.0,0.0,0.019,0.981,0.0,-0.7003
1343,0.0,0.0,0.0,1.0,0.0,0.0
1344,0.0,0.0,0.0,0.991,0.009,0.1027
1345,0.0,0.0,0.0,1.0,0.0,0.0
1346,0.1,0.15000000000000002,0.032,0.968,0.0,-0.6908
1347,0.0,0.75,0.0,1.0,0.0,0.0
1348,0.0,0.0,0.016,0.975,0.009,-0.2869
1349,0.0,0.0,0.0,1.0,0.0,0.0
135,0.25,0.375,0.015,0.971,0.015,0.0258
1350,0.0,1.0,0.0,1.0,0.0,0.0
1351,-0.5,0.7,0.0,0.991,0.009,0.1027
1352,0.0,0.0,0.008,0.979,0.013,0.347
1353,0.0,0.0,0.01,0.99,0.0,-0.296
1354,0.0,0.0,0.047,0.942,0.011,-0.6908
1355,0.0,0.0,0.017,0.983,0.0,-0.296
1356,0.0,0.0,0.0,1.0,0.0,0.0
1357,0.0,0.0,0.0,1.0,0.0,0.0
1358,0.0,0.0,0.061,0.939,0.0,-0.5267
1359,0.6,0.9,0.009,0.971,0.02,0.3802
136,0.0,0.0,0.027,0.973,0.0,-0.7783
1360,-0.375,0.75,0.0,0.992,0.008,0.1027
1361,0.0,0.0,0.0,1.0,0.0,0.0
1362,0.0,0.0,0.0,1.0,0.0,0.0
1363,0.03333333333333333,0.06666666666666667,0.06,0.94,0.0,-0.9435
1364,0.0,0.0,0.011,0.989,0.0,-0.5267
1365,0.0,0.0,0.021,0.979,0.0,-0.5267
1366,0.0,0.0,0.016,0.984,0.0,-0.296
1367,0.0,1.0,0.035,0.965,0.0,-0.6597
1368,0.0,0.0,0.0,1.0,0.0,0.0
1369,0.0,0.25,0.017,0.983,0.0,-0.296
137,0.0,0.0,0.024,0.957,0.019,-0.1295
1370,0.0,0.0,0.0,1.0,0.0,0.0
1371,0.0,0.4,0.028,0.972,0.0,-0.5267
1372,0.0,0.125,0.009,0.978,0.012,0.1779
1373,0.0,0.0,0.0,0.984,0.016,0.4404
1374,0.20833333333333334,0.5,0.011,0.97,0.02,0.4406
1375,0.0,0.0,0.017,0.983,0.0,-0.296
1376,0.04999999999999999,0.75,0.015,0.946,0.039,0.8998
1377,-0.4,0.625,0.013,0.987,0.0,-0.296
1378,-0.875,1.0,0.037,0.963,0.0,-0.743
1379,0.0,0.0,0.025,0.975,0.0,-0.296
138,0.0,0.0,0.027,0.966,0.007,-0.8225
1380,0.0,0.0,0.0,1.0,0.0,0.0
1381,0.0,0.0,0.0,1.0,0.0,0.0
1382,0.0,0.0,0.0,1.0,0.0,0.0
1383,-0.8,1.0,0.0,1.0,0.0,0.0
1384,0.0,0.0,0.02,0.98,0.0,-0.7088
1385,-0.4,0.5,0.0,1.0,0.0,0.0
1386,0.0,0.0,0.0,1.0,0.0,0.0
1387,-0.8,1.0,0.053,0.947,0.0,-0.8374
1388,0.0,0.0,0.0,1.0,0.0,0.0
1389,0.0,0.0,0.0,1.0,0.0,0.0
139,0.0,0.0,0.027,0.973,0.0,-0.7184
1390,0.0,0.0,0.026,0.952,0.022,-0.1531
1391,0.0,0.0,0.023,0.977,0.0,-0.6535
1392,0.05555555555555555,0.3611111111111111,0.0,0.987,0.013,0.34
1393,0.0,0.0,0.091,0.909,0.0,-0.296
1394,0.0,0.0,0.0,1.0,0.0,0.0
1395,0.0,0.0,0.0,1.0,0.0,0.0
1396,0.0,0.0,0.049,0.863,0.088,0.6654
1397,0.0,0.0,0.0,1.0,0.0,0.0
1398,0.0,0.0,0.0,1.0,0.0,0.0
1399,0.0,0.0,0.015,0.985,0.0,-0.296
14,0.0,0.0,0.02,0.98,0.0,-0.296
140,0.1,0.1,0.0,1.0,0.0,0.0
1400,0.0,0.0,0.02,0.98,0.0,-0.5267
1401,0.0,0.0,0.018,0.972,0.009,-0.3365
1402,0.0,0.0,0.037,0.963,0.0,-0.6103
1403,0.0,0.0,0.053,0.927,0.02,-0.769
1404,0.0,0.0,0.016,0.975,0.009,-0.2714
1405,0.0,0.0,0.0,1.0,0.0,0.0
1406,0.0,0.0,0.072,0.928,0.0,-0.7783
1407,0.0,0.0,0.0,1.0,0.0,0.0
1408,0.0,0.0,0.014,0.986,0.0,-0.3595
1409,0.0,0.0,0.025,0.975,0.0,-0.296
141,-0.8,1.0,0.031,0.95,0.019,-0.3425
1410,0.0,0.0,0.019,0.981,0.0,-0.3595
1411,0.0,0.0,0.0,1.0,0.0,0.0
1412,0.0,0.0,0.041,0.959,0.0,-0.6597
1413,0.0,0.0,0.019,0.981,0.0,-0.6407
1414,0.0,0.0,0.0,1.0,0.0,0.0
1415,0.2,0.2,0.025,0.964,0.011,-0.4588
1416,0.0,0.0,0.015,0.985,0.0,-0.3595
1417,0.0,0.0,0.013,0.987,0.0,-0.4724
1418,0.0,0.0,0.071,0.929,0.0,-0.91
1419,0.0,0.0,0.041,0.959,0.0,-0.8689
142,0.375,0.75,0.031,0.895,0.074,0.8481
1420,0.26692708333333326,0.3333333333333333,0.013,0.987,0.0,-0.5759
1421,0.0,0.0,0.039,0.961,0.0,-0.6458
1422,0.0,0.0,0.101,0.899,0.0,-0.7783
1423,0.0,0.75,0.055,0.926,0.019,-0.6792
1424,0.0,0.0,0.013,0.96,0.026,0.481
