,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,ID,Veracity,Author,Link,Category,Date,Tokens,Words,Types,Links Inside,Words Uppercase,Verbs,Subjuntive\Imperative Verbs,Nouns,Adjectives,Adverbs,Modal Verbs,Singular\Second Personal Pronouns,Plural First Personal Pronouns,Pronouns,Pausality,Characters,Average Sentence Length,Average Word Length,Percentage of Spelling Errors,Emotiveness,Diversity
30,30,30,30,30,1025,1025,true-meta-information, Por G1 SP ,https://g1.globo.com/sao-paulo/noticia/corpo-de-marco-aurelio-garcia-ex-assessor-de-lula-e-dilma-e-cremado-em-sao-paulo.ghtml,politica,2017-07-22 00:00:00,911,797,362,None,4,93,1,239,25,13,7,2,1,38,2.65116,3748,18.5349,4.70263,0.00250941,0.11445799999999999,0.45420299999999997
31,31,31,31,31,1026,1026,true-meta-information," Por Felipe Souza, BBC, BBC Brasil, São Paulo ",https://g1.globo.com/sao-paulo/noticia/voce-compra-remedio-ou-comida-as-escolhas-das-familias-que-vivem-com-um-salario-minimo-em-sp.ghtml,politica,2017-08-08 00:00:00,2555,2204,890,0,4,389,7,595,104,135,37,14,0,162,2.5434799999999997,9913,15.970999999999998,4.497730000000002,0.0022686,0.24288600000000002,0.40381100000000003
32,32,32,32,32,1027,1027,true-meta-information, Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/neto-do-ex-presidente-getulio-vargas-e-encontrado-morto-em-porto-alegre.ghtml,sociedade_cotidiano,2017-07-17 00:00:00,516,451,244,0,0,69,1,122,20,14,13,1,0,31,2.32143,2119,16.1071,4.69845,0.0,0.17801,0.54102
33,33,33,33,33,1028,1028,true-meta-information," Fabrício de Castro, O Estado de S.Paulo ","http://economia.estadao.com.br/noticias/geral,para-economista-pais-necessita-de-reforma-tributaria-que-reorganize-e-unifique-impostos,70001944654",tv_celebridades,2017-08-21 00:00:00,2007,1721,688,None,38,262,9,487,119,98,32,1,2,109,3.1428599999999998,8275,18.9121,4.80825,0.0005810580000000001,0.28972,0.39976799999999996
34,34,34,34,34,1029,1029,true-meta-information, Por G1 ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/revisor-acompanha-relator-e-mantem-condenacao-de-lula-julgamento-continua.ghtml,politica,2018-01-24 00:00:00,1097,983,397,None,13,129,2,299,57,38,13,0,0,41,3.0,4728,25.8684,4.809769999999999,0.00101729,0.22196300000000002,0.403866
35,35,35,35,35,103,103,true-meta-information,Renan Truffi,"http://politica.estadao.com.br/noticias/geral,joesley-se-mantem-em-silencio-em-cpmi,70002099768",politica,2017-11-28 00:00:00,468,394,249,None,15,66,3,125,10,15,5,0,0,19,3.7,1977,19.7,5.01777,0.0,0.13089,0.63198
36,36,36,36,36,1030,1030,true-meta-information," Por G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/roberto-teixeira-diz-que-nao-tinha-influencia-nenhuma-sobre-eventual-imovel-para-o-instituto-lula.ghtml,tv_celebridades,2017-09-19 00:00:00,1875,1609,617,0,13,278,11,405,60,92,54,7,1,94,3.16667,7858,19.1548,4.883780000000002,0.00186451,0.222548,0.383468
37,37,37,37,37,1031,1031,true-meta-information, Por G1 Santos ,https://g1.globo.com/sp/santos-regiao/noticia/homem-e-preso-apos-matar-vizinho-com-20-facadas-e-alega-legitima-defesa-em-sp.ghtml,ciencia_tecnologia,2018-03-14 00:00:00,735,641,336,0,2,125,0,167,11,37,23,7,0,46,2.08889,2888,14.2444,4.50546,0.00156006,0.164384,0.524181
38,38,38,38,38,1032,1032,true-meta-information," Por Gabriel Palma, TV Globo, Brasília ",https://g1.globo.com/politica/operacao-lava-jato/noticia/pf-conclui-inquerito-e-diz-que-lula-dilma-e-mercadante-atuaram-para-obstruir-justica.ghtml,politica,2017-02-20 00:00:00,2167,1938,648,0,26,257,13,582,73,59,37,0,0,74,2.60227,9884,22.0227,5.1001,0.00206398,0.15733,0.334365
39,39,39,39,39,1033,1033,true-meta-information," Por Carol Prado, G1 ",https://g1.globo.com/musica/noticia/marcelo-yuka-lanca-disco-para-dar-conforto-apos-idas-e-vindas-do-hospital.ghtml,tv_celebridades,2017-09-01 00:00:00,1777,1504,620,None,16,307,10,357,72,112,46,28,2,177,2.35345,6713,12.9655,4.463430000000002,0.00398936,0.27710799999999997,0.412234
40,40,40,40,40,1034,1034,true-meta-information, Por G1 ,https://g1.globo.com/politica/noticia/intervencao-federal-na-seguranca-do-rio-o-que-se-sabe-e-o-que-falta-ser-definido.ghtml,tv_celebridades,2018-02-16 00:00:00,871,749,357,0,9,130,4,214,31,31,29,0,0,38,2.59574,3638,15.9362,4.85714,0.0,0.180233,0.47663599999999995
41,41,41,41,41,1035,1035,true-meta-information, José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/cada-um-por-si-e-pasmem-todos/,politica,2017-12-18 00:00:00,1568,1369,705,None,16,184,17,367,96,74,19,2,0,103,4.14583,6879,28.5208,5.02484,0.00292184,0.30853,0.5149739999999999
42,42,42,42,42,1036,1036,true-meta-information," Por G1, São Paulo ",https://g1.globo.com/politica/noticia/manifestacoes-contra-temer-neste-domingo-21.ghtml,politica,2017-05-21 00:00:00,1905,1627,481,0,36,156,0,519,67,41,14,0,0,15,2.95745,8362,17.3085,5.13952,0.00122926,0.16,0.295636
43,43,43,43,43,1037,1037,true-meta-information, Por G1 ,https://g1.globo.com/mundo/noticia/coreia-do-norte-lanca-missil-diz-tv-japonesa.ghtml,sociedade_cotidiano,2017-08-28 00:00:00,901,800,411,0,10,121,5,216,53,41,24,0,1,28,2.88571,3875,22.8571,4.84375,0.00125,0.278932,0.51375
44,44,44,44,44,1038,1038,true-meta-information, Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/julgamento-de-lula-no-caso-triplex-em-segunda-instancia-e-marcado-para-24-de-janeiro-no-trf4.ghtml,politica,2017-12-12 00:00:00,732,651,319,0,10,91,9,185,30,27,22,0,0,24,2.7931,3124,22.4483,4.798769999999998,0.0,0.20652199999999998,0.490015
45,45,45,45,45,1039,1039,true-meta-information, Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/apos-reintegracao-de-posse-de-predio-familias-recebem-doacoes-em-porto-alegre.ghtml,politica,2017-06-16 00:00:00,2290,1966,837,0,13,288,11,545,90,102,40,10,3,92,3.6,9708,21.8444,4.93794,0.0,0.230492,0.425738
46,46,46,46,46,104,104,true-meta-information,Rafael Moraes Moura E Amanda Pupo,http://politica.estadao.com.br/blogs/fausto-macedo/raquel-insiste-por-bloqueio-de-bens-de-aecio/,politica,2017-12-20 00:00:00,553,491,239,None,28,69,3,148,22,15,14,0,0,19,3.6470599999999997,2331,28.8824,4.74745,0.0,0.170507,0.486762
47,47,47,47,47,1040,1040,true-meta-information, Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/tribunal-federal-nega-pedido-de-paulo-okamotto-para-anular-sentenca.ghtml,politica,2017-10-19 00:00:00,700,624,308,0,10,78,1,198,30,12,9,0,3,25,2.71429,3001,22.2857,4.80929,0.0,0.152174,0.49359
48,48,48,48,48,1041,1041,true-meta-information," Sonia Racy, O Estado de S. Paulo ","http://cultura.estadao.com.br/noticias/geral,o-humor-e-uma-grande-ferramenta-para-entregar-conteudo-as-pessoas,1593764",sociedade_cotidiano,2014-11-17 00:00:00,2233,1882,849,0,5,345,7,486,93,138,42,26,0,149,2.67939,8593,14.3664,4.5658900000000004,0.0175345,0.277978,0.45111599999999996
49,49,49,49,49,1042,1042,true-meta-information, O Estado de S.Paulo ,"http://internacional.estadao.com.br/noticias/geral,the-economist-o-governo-de-trump-e-tao-ruim-como-se-pinta,70002149602",politica,2018-01-14 00:00:00,1337,1195,630,0,25,189,12,306,90,67,27,0,0,91,2.1194,5826,17.8358,4.87531,0.00083682,0.31717199999999995,0.527197
50,50,50,50,50,1043,1043,true-meta-information," Por Lúcia Ribeiro, G1 Sul de Minas ",https://g1.globo.com/mg/sul-de-minas/noticia/a-lava-jato-vai-ate-onde-nos-deixarem-ir-diz-procurador-deltan-dallagnol-durante-lancamento-de-seu-livro-em-mg.ghtml,politica,2017-07-05 00:00:00,1736,1524,633,0,5,229,12,405,70,77,29,8,19,131,2.9041099999999997,7429,20.8767,4.87467,0.00131234,0.231861,0.415354
51,51,51,51,51,1044,1044,true-meta-information," Por Rafael Miotto, G1, Leh, na Índia - o jornalista viajou a convite da Royal Enfield ",https://g1.globo.com/carros/motos/noticia/de-moto-no-himalaia-como-e-rodar-no-topo-do-mundo.ghtml,tv_celebridades,2017-09-27 00:00:00,2394,2099,826,None,2,319,8,539,150,171,31,0,3,104,2.52137,9375,17.9402,4.46641,0.00238209,0.374126,0.393521
52,52,52,52,52,1045,1045,true-meta-information," Por G1, Brasília ",https://g1.globo.com/politica/noticia/para-temer-situacao-para-aprovar-a-previdencia-e-bem-melhor-agora-do-que-no-fim-de-2017.ghtml,politica,2018-01-29 00:00:00,1380,1180,515,0,3,222,12,322,50,61,30,6,5,67,2.8169,5685,16.6197,4.8178,0.00508475,0.204044,0.43644099999999997
53,53,53,53,53,1046,1046,true-meta-information," Por G1, São Paulo ",https://g1.globo.com/monitor-da-violencia/noticia/mortes-violentas-no-brasil-perguntas-e-respostas.ghtml,sociedade_cotidiano,2017-09-25 00:00:00,3067,2713,948,0,15,318,9,817,198,114,29,0,0,113,3.0,13794,22.9915,5.08441,0.00147438,0.27489,0.349429
54,54,54,54,54,1047,1047,true-meta-information, Por G1 ,https://g1.globo.com/economia/midia-e-marketing/noticia/jornal-nacional-inaugura-estudio-no-centro-de-nova-redacao-integrada-da-globo.ghtml,politica,2017-06-19 00:00:00,2318,2031,827,0,14,290,6,556,127,92,31,0,13,172,3.15385,9983,22.3187,4.91531,0.000984737,0.258865,0.40718899999999997
55,55,55,55,55,1048,1048,true-meta-information," Por Bernardo Caram, Gustavo Garcia e Gabriel Palma, G1 e TV Globo, Brasília ",https://g1.globo.com/politica/noticia/jungmann-diz-que-ordem-que-deu-a-novo-diretor-geral-da-pf-foi-combata-a-corrupcao.ghtml,tv_celebridades,2018-02-28 00:00:00,822,692,334,0,7,133,6,190,29,24,18,7,1,49,2.88889,3562,15.3778,5.1474,0.00144509,0.16408699999999998,0.482659
56,56,56,56,56,1049,1049,true-meta-information," Por G1, Brasília ",https://g1.globo.com/politica/noticia/temer-comete-gafe-em-video-e-diz-que-governo-tem-feito-voltar-o-desemprego.ghtml,politica,2017-07-07 00:00:00,713,585,293,0,9,113,3,173,29,23,18,1,2,38,3.65714,2913,16.7143,4.97949,0.0,0.181818,0.500855
57,57,57,57,57,105,105,true-meta-information,Fausto Macedo E Julia Affonso,http://politica.estadao.com.br/blogs/fausto-macedo/decano-da-lava-jato-nao-deve-falar-de-politicos-partidos-e-investigados-no-face-recomenda-corregedor/,politica,2018-04-01 00:00:00,971,846,393,None,7,116,5,232,66,27,10,0,1,35,4.6296300000000015,4519,31.3333,5.34161,0.00118203,0.267241,0.46453900000000004
58,58,58,58,58,1050,1050,true-meta-information," Por Guilherme Mazui, Yvna Sousa e Roniara Castilhos, G1 e TV Globo, Brasília ",https://g1.globo.com/economia/noticia/temer-diz-que-eua-vao-negociar-eventual-retirada-do-brasil-da-sobretaxa-do-aco.ghtml,politica,2018-03-21 00:00:00,933,808,354,None,10,106,4,248,38,34,18,0,0,28,3.7878800000000004,4101,24.4848,5.0755,0.00247525,0.20339000000000002,0.438119
59,59,59,59,59,1051,1051,true-meta-information, Por G1 Itapetininga e Região ,https://g1.globo.com/sp/itapetininga-regiao/noticia/suspeita-de-matar-filha-em-itapetininga-perdeu-guarda-da-menina-em-2012-por-abandona-la-apos-o-parto.ghtml,sociedade_cotidiano,2018-06-03 00:00:00,1216,1055,418,0,7,196,4,274,22,52,38,1,0,55,2.875,4783,18.8393,4.53365,0.000947867,0.157447,0.39620900000000003
60,60,60,60,60,1052,1052,true-meta-information, José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/o-trio-tolerancia/,politica,2017-03-05 00:00:00,2343,2092,924,None,13,299,16,584,99,94,40,6,1,141,3.17722,9989,26.480999999999998,4.774859999999999,0.00239006,0.218573,0.441683
61,61,61,61,61,1053,1053,true-meta-information," Por Aline Pavaneli e Wilson Kirsche, G1 PR e RPC, Curitiba ",https://g1.globo.com/pr/parana/noticia/e-preciso-ir-alem-da-lava-jato-diz-deltan-dallagnol-sobre-combate-a-corrupcao-e-a-impunidade.ghtml,politica,2017-04-29 00:00:00,2371,2085,754,0,16,315,22,539,99,100,52,3,23,210,2.91837,9748,21.2755,4.6753,0.0,0.233021,0.361631
62,62,62,62,62,1054,1054,true-meta-information," Ricardo Galhardo, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,ciro-e-haddad-avaliam-uniao-da-esquerda,70002199096",politica,2018-02-22 00:00:00,636,587,289,None,2,79,4,197,17,20,10,0,0,25,2.33333,2757,27.9524,4.69676,0.0,0.13405799999999998,0.492334
63,63,63,63,63,1055,1055,true-meta-information, Por BBC ,https://g1.globo.com/mundo/noticia/seria-melhor-se-tivesse-morrido-um-ano-apos-atentado-de-bruxelas-testemunhas-revelam-feridas-invisiveis.ghtml,tv_celebridades,2017-03-22 00:00:00,2141,1822,836,0,4,357,8,440,105,120,49,15,2,188,2.9266099999999997,8706,16.7156,4.77827,0.000548847,0.28230900000000003,0.45883599999999997
64,64,64,64,64,1056,1056,true-meta-information, José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/memoria-implacavel/,sociedade_cotidiano,2018-02-23 00:00:00,2316,2038,896,0,18,276,11,596,91,91,41,1,1,116,3.1954,9838,23.4253,4.82728,0.00294406,0.20871599999999998,0.439647
65,65,65,65,65,1057,1057,true-meta-information," Por G1, Brasília ",https://g1.globo.com/economia/noticia/crise-economica-no-brasil-nao-existe-diz-temer-antes-do-g20.ghtml,politica,2017-07-07 00:00:00,2180,1917,791,0,23,263,6,559,149,90,52,0,1,95,2.82796,9516,20.6129,4.96401,0.00312989,0.290754,0.412624
66,66,66,66,66,1058,1058,true-meta-information," Por Mariana Oliveira, TV Globo, Brasília ",https://g1.globo.com/distrito-federal/noticia/justica-do-distrito-federal-aceita-denuncia-do-mp-e-lula-vira-reu-na-zelotes.ghtml,politica,2016-12-16 00:00:00,1209,1091,385,0,9,137,4,326,54,46,16,1,0,51,3.37143,5519,31.1714,5.05866,0.0,0.21598299999999998,0.352887
67,67,67,67,67,1059,1059,true-meta-information, Por BBC ,https://g1.globo.com/mundo/noticia/como-surgiu-acidentalmente-a-teoria-da-dominacao-universal-pelos-illuminati.ghtml,sociedade_cotidiano,2017-08-27 00:00:00,1700,1499,674,0,6,240,8,383,93,95,34,1,5,136,3.2950800000000005,7656,24.5738,5.1074,0.00466978,0.301766,0.449633
68,68,68,68,68,106,106,true-meta-information,"Guilherme Mazui,",https://g1.globo.com/politica/noticia/temer-recebe-lideres-do-mercosul-nesta-quinta-feira-para-cupula-do-bloco.ghtml,politica,2017-12-21 00:00:00,439,368,204,None,0,40,1,145,12,7,2,0,0,6,3.94444,1880,20.4444,5.1087,0.0,0.102703,0.554348
69,69,69,69,69,1060,1060,true-meta-information," Por Vivian Reis, G1 São Paulo ",https://g1.globo.com/sao-paulo/noticia/justica-de-sp-aceita-recurso-de-levy-fidelix-e-suspende-indenizacao-de-r-1-milhao-por-comentarios-contra-gays.ghtml,sociedade_cotidiano,2017-03-02 00:00:00,792,675,346,None,13,105,6,193,29,32,19,3,0,34,4.17857,3336,24.1071,4.94222,0.00444444,0.204698,0.5125930000000001
